access|vt. 访问或存取计算机文件（即打开一份计算机文件以获取或添加信息）
flash|vt.＆vi. flash (sth) (up)（在计算机屏幕上）出现很短的时间，即闪现，显示；也可指使…在屏幕上闪现，显示
flavour|n. [C] [计算机] 某类事物（尤指计算机软件）
folder|n. [C]（计算机系统中的）文件夹
format|n. [C] 计算机上所存储或运行的数据的格式
format|vt. [术语] 在屏幕上安排文本的版式（使其可以在电脑上以某种方式显示）
format|vt. 对计算机磁盘进行格式化（使其有空间来存储数据）
freeze|vi. 计算机屏幕上的内容因系统出问题而固定不动，即屏幕冻结
freeze|vt. 使视频、电影等的画面定格（以查看某一图片）
function|n. [C] 在计算机的一个程序中，可指该程序下执行一项基本操作的一个子程序，即子例行程序，子例程
gate|n. [C] 逻辑门或逻辑闸，即以两种方式之一对所输入数据进行输出的电子开关，也可用logic gate
gig|n. [C] [非正式] [计算机]（缩写为Gb）十亿字节；吉字节；千兆字节。相当于gigabyte
grab|n. [C] [计算机] 抓取（或截取、采集）的图像
graphic|n. [C]（电脑荧屏上的）图标
grid|n. [sing.] [计算机]（常用the Grid）联入网络的一些计算机（彼此之间传递数据等）
hack|vt.&vi. [计算机] ~ (into) (sth) 非法侵入别人的计算机系统
handling|n. [U] 对数据、信息等的处理
hardware|n. [U] [计算机] 硬件
help|n. [U] 计算机上的具有帮助作用的一些事物
hit|n. [C] 计算机技术中可指搜索的结果，例如在互联网上搜索出来的结果
host|n. [C] 计算机网络的主机，服务器（可控制该网络中的其他计算机或向这些计算机发送消息）
host|vt.（在连接到互联网上的一台计算机上）存储一个网站（通常可收费）
icon|n. [C] [计算机]（屏幕上的程序或文件的）图标
import|vt.＆vi. import sth (from ...) / import sth (into ...) 将数据导入或输入
infect|vt. 使计算机病毒从一台电脑上传播到另一台电脑上
input|n. [U] [计算机] 信息的输入；输入的信息
insert|vt. insert sth (into sth) 将…添加到一段文字中
install|vt.（在计算机上）安装程序
instruction|n. [C] 计算机的指令。它可以是一个编码，也可以是一串数据序列。其作用在于定义并执行一项操作或任务。其直接发出者一般为计算机本身
internet|n. [sing.] 国际计算机互联所形成的一个网络，即互联网（通常写作the Internet，非正式用法为the Net）。最为常用
interpreter|n. [C] 解释性程序（该程序可将一个程序的指令转化成计算机能够理解并使用的一种形式）
iteration|n. [C] 计算机的新版软件
iteration|n. [U, C]（计算过程的）迭代（即重复一个计算过程，或重复一套指令）
job|n. [C] 被计算机作为一个单元来处理的一项任务或工作
key|n. [C]（计算机或打字机的）键
keyboard|n. [C]（计算机或打字机的）键盘
landscape|n. [U] [术语]（文件的）横向打印格式
language|n. [C, U] 计算机语言（即用于操作电脑的一套符号和规则体系）
link|n. [C] 电子文档中的链接（通过该链接可进入另一个电子文档或链接所在的文档的另一部分）
live|adj. 常作前置定语，（互联网的电子链接）有效的，功能正常的，能连接到互联网上的其他文件或页面的
load|vt.＆vi. 载入（或写入、输入、装入）数据或程序
lock|vt. 给计算机文件加锁
logic|n. [U] [计算机] 逻辑系统；操作规则
loop|n. [C] [计算机] 程序中的一套重复指令（直到某一条件得到满足）
mailbox|n. [C] 电脑上存储电子邮件的地方，即电子邮箱
manipulation|n. [U, C]（数据的）处理
memory|n. [C, U] 计算机内存储信息的部分，即存储器；还可指其存储信息的空间数量，即内存量（或称内存）
menu|n. [C] 计算机屏幕上显示的（功能选择）菜单，选项
migrate|vt.&vi. [计算机]（使）迁移（到另一计算机系统）
migration|n. [U, C]（计算机系统的）改变、迁移；（程序或硬件的）迁移，转移
module|n. [C] [计算机] 具有某一功能的（系统或程序的）模块
monitor|n. 1 [C] 显示器
mouse|n. [C] 鼠标
navigate|vt.&vi. [计算机]（在互联网或某个网站上）导航
navigation|n. [U] 网站的导航
net|n. [sing.] [非正式] the Net 可表示互联网，是Internet的非正式用法
network|n. [C] 连接在一起的若干台计算机或其他设备（以共享设备和信息），即互联网络。仅表示一种网络结构（而不表示其它属性），是一个纯技术用语。是本组一个最基础、最广义的用词，包含了各种类型的网络（如局域网、广域网、万维网、国际互联网等）
network|vt. 将一些计算机或其他设备连接成网络（以共享设备或信息）
notebook|n. [C] 笔记本电脑
open|vt.＆vi. 启动或打开（计算机程序或文件）
operation|n. [C, U] 机器（尤指计算机）所执行的任务，即运算
option|n. [C] [计算机] 计算机程序的选项
output|n. [U, sing.] 信息的输出端
output|n. [U, sing.] 计算机技术中指信息、结果等的输出
overflow|n. [C, usually sing.] [计算机] 是计算机的一种故障，指数字或数据项（如计算结果的数值）太大时，计算机不能准确将其显示出来。可称为溢出，上溢（运算产生的数值位数或字的长度等超过存储单元的长度）
package|n. [C] 也可用software package，（执行某类任务的）一套程序（作为一个统一的整体来售卖和使用），即软件包
packet|n. [C] 通过计算机网络所发送的一则消息的一个数据包或信息包
page|n. [C] 显示在计算机屏幕上的（数据或信息的）页面或版面；网页
parallel|adj. 计算机技术中可指同时涉及若干项计算处理过程的，即并行的
password|n. [C] [计算机] 密码、口令
paste|vt.&vi. [计算机] 粘贴（文本）
patch|n. [C] [计算机] 修补程序，补丁程序
pause|n. [U] 也可用pause button，（磁带录音机、唱片播放器等的）暂停键
pause|vt.（按暂停键）暂停播放一个磁带、唱片等
peripheral|adj. [计算机]（设备）与计算机相连的，即外围的
platform|n. [C] 计算机平台或软件平台。强调为各种计算机操作提供一套基础系统
point|n. [U] 计算机屏幕等上面字体大小的单位，即点，磅值
pointer|n. [C] [计算机] 计算机屏幕上的指针（光标）
port|n. [C] 输入或输出的端口，即计算机上与外部设备相连接的一个地方（这种连接常用一根线缆）
port|vt. 将软件（或程序）从一个系统或一部机器移植到另一个系统或机器上
portrait|adj. [计算机]（文件页面）竖向的；纵向打印格式的
post|n. [C] 网上发的帖子
posting|n. [C] 发到互联网讨论组的一则消息或信息，即帖子
process|vt. 在计算机中对数据进行处理
program|n. [C] 计算机程序
prompt|n. [C] [计算机] 提示符（计算机屏幕上显示的，表明某项任务已经完成，并做好了执行新任务的准备的一个符号）
prompt|vt. [计算机] 用提示符提示你下一步的任务
protocol|n. [C] [计算机]（计算机间传递数据的）协议
publish|vt.（在互联网上向公众）发表，公布
queue|n. [C] 以某种顺序所存储的数据的队列
queue|vt.＆vi. 在其它任务的基础上添加新的任务以使这些任务依次得到执行；还可指任务凑到一起等候被依次执行
quit|vt.＆vi. 退出一个计算机程序（或退出一个应用程序）。不过不如exit常用
read|vt. read sth (into sth) 计算机（或计算机使用者）从磁盘读取信息
reader|n. 1 [C] [计算机] 能够读取以某种形式存储的数据的一种装置（该装置也能将此数据转化为计算机的可执行格式）
refresh|vt.＆vi. 计算机技术中可指获取最新信息（如通过在屏幕上点击按钮而获取一个网页的最新信息），可称为刷新，更新
remote|adj.（计算机或系统）远程的（即可以在较远的地方通过电子链接来联接起来的）
retrieve|vt. [计算机]（从计算机的存储器或人的大脑中）检索数据或信息
return|n. [U] 返回键，回车键
routine|n. [C]（使计算机执行某一任务的）一套例行程序，即例程
save|vt.＆vi. 存盘或保存。是一种动作或操作，常发生于文件的编辑或查找活动之后
scan|vt.＆vi. 为搜索计算机病毒而对磁盘文件进行扫描
screen|n. [C]（电视或电脑的）屏幕
script|n. [U, C] [计算机] 计算机的一系列指令，即脚本（程序）
search|n. [C] 在数据库中或互联网上进行的搜索、检索
select|vt. 在计算机屏幕上选定；（尤指从一个菜单中）选择
shift|n. [U] [计算机]（计算机键盘或打字机上的）转换（键），换档（键）
site|n. [C] [计算机] 网站、站点。相当于website
skim|vt.&vi. 非法复制并使用信用卡上的电子信息
software|n. [U] 软件
sort|n. [sing.] 计算机技术中可指将数据按照某种顺序进行排列的过程，即分类、排序
spreadsheet|n. [C] [计算机] 电子表格程序（主要用于制定财务计划）
stack|n. [C] [计算机] 堆栈（即计算机存储信息的一种方式，最近存储的内容可以优先被检索到）
storage|n. [U] 将信息等存储在一台电脑上的过程；也可指其存储方式
store|vt. 在计算机里储存信息
stream|vt. 用流式技术来播放视频或音频（即无须待整个文件已下载到计算机上便可播放互联网上的视频或音频文件）
string|n. [C] 计算机技术中可指一系列字符（如字母、数字等），即字符串
suite|n. [C] 一套计算机程序，或成套软件。可作为量词使用，如a suite of。而package常作为名词使用
support|vt.（计算机或计算机系统）支持（某一程序、语言、装置等），即可在该计算机上使用该程序、语言、装置等
surf|vt. ~ the Net/Internet（在互联网上）冲浪，即浏览（互联网）
system|n. [C] 被连接在一起（或在一起运行）的一组事物，如一套设备等，即系统
tag|n. [C] [计算机]（一段文本或数据之前或之后的）标记、标签、标识符
tag|vt. [计算机] 给文本或数据加标识符
terminal|n. [C]（计算机技术中的）终端或终端机（该终端与一个中央计算机系统相连）
thread|n. [C] 互联网留言板上由不同的人所发出的一系列相关信息
tile|vt. [计算机] 在计算机屏幕上平铺显示各窗口（使其彼此不被盖住）
tower|n. [C] 计算机的主机箱
underscore|n. [C] [计算机] 下划线、底线（用于字母下划线或计算机命令和互联网地址中）
up|adj. 只作表语，（计算机系统）在运行的
update|vt. 更新计算机程序等
utility|n. [C] [计算机] 实用程序
valid|adj. 被计算机系统所接受或认可的
virus|n. [C] 计算机病毒
visit|vt. 访问（互联网上的网站）
wallpaper|n. [U] [计算机] 屏幕桌面的背景壁纸
web|n. [sing.] the Web可指计算机的互联网，也称万维网（World Wide Web）。在词义上与Internet没有明显区别，不过Internet使用范围更广，也更为常用
website|n. [C] 网站
window|n. [C]（计算机屏幕的）窗口，视窗
wipe|vt. wipe sth (off/off sth) 将信息、声音、图像等从计算机、磁带或录像机上清除，相当于erase。除了清除各种文件，还可以清除各种痕迹，且一般是从磁盘中彻底清除
wizard|n. [C] [计算机] 通过给出一系列简单选项而让使用某程序（或执行某任务）更简单的一个程序，即向导程序
worm|n. [C] 一种计算机病毒，即蠕虫病毒
wrap|vt.&vi. [计算机] ~ (sth) (around/round) 使文本自动换行
write|vt.＆vi. write (sth) (about/on sth) 以书写的形式来编程序
write|vt.＆vi. write (sth) to/onto sth 将数据写入电脑存储器（或磁盘）
zip|vt. 计算机技术中可指压缩（文件）
