abroad|adv. [正式] 被很多人谈论或感觉到，即广为流传
install|vt. ~ sb (as sth)（常以正式仪式）使某人就任一个职位（常是重要职位），如任命
intolerance|n. [U, C]（对别人的行为或观点）不容忍、不容异己、偏狭
intolerant|adj. [贬] ~ (of sb/sth)（对别的观点或行为方式）不容忍的、偏狭的
invest|vt. [正式] 赋予，使具有（某种品质或特征）
issue|vt. [常用被动式] ~ sth (to sb) / ~ sb with sth（尤指官方或正式地）把…发给某人
land|vt. 非正式，指成功得到（如工作等），尤指得到了许多人都想得到的东西
leaflet|vt.&vi. 向人们散发传单（或小册子）
leave|vt. 允许某人照看…，即把某种责任交托或委托给某人
lend|vt. lend (out) sth (to sb) / lend (sb) sth 把…借给某人，相当于loan
load|vt. 给予某人很多东西，尤指其不得不携带的东西
loan|n. [sing.] ~ (of sth) 借出；贷给；被借出
lose|vt. 1 不能找到某东西或某人，如遗失，丢失，相当于mislay。是一个常规用词
loss|n. 1 [U, C] 作可数名词时常用单数，指损失，丧失，如热量、血液、体液等的流失
lumber|vt. [常用被动式] ~ sb (with sb/sth)为非正式用法，指给予某人其不想要或不能推辞的责任等，即迫使担负（职责等）
make|vt. 选举；挑选；任命（某人担任某职或角色）。是一个简单用词
merit|vt. [不用于进行时] [正式] 应得、值得受到
milk|vt. milk A (of B) / milk B (from A) [贬] 从…中捞取尽量多的金钱、好处等，尤指使用不义手段，且不关心对别人造成什么影响。有一种把对方当提款机的色彩
misplaced|adj.（爱情、信任等）给了不该给的人的、错付了的
miss|n. [C] 未击中；未抓住；未到达；错过等
miss|vt.＆vi. 未击中；未抓住；未达到；错过等
missing|adj. 1（事物）找不到的；丢失的
name|vt. name sb (as) sth / name sb (to sth) 选择某人，让该人去做某份工作或让其接受某个职位，具体可称为任命或委任，相当于nominate
near|prep. 拒绝与某人或某物接触
negative|n. [C] 拒绝或否定
negative|vt. [正式] 拒绝同意一项提议或一个请求
net|vt.（尤指运用技巧来）获取、得到（人或事物）
nominate|vt. ~ sb (for/as sth) 为一个重要职位或奖项正式推荐某人，即提名
nomination|n. 1 [C]（选举、职务竞争中对某个候选人的）提名
nominee|n. 1 [C] 被提名人
not|adv. 用于表示拒绝或不允许
obtain|vt. [正式] 获得某事物（尤指通过付出努力而获得）
obtainable|adj. [名词前不常用] 可获得的、可得到的
off|adj. [尤英，非正式] 只作表语，指不能接受的
offer|n. [C] offer (of sth/to do sth) 表示你愿意为某人去做某事或愿意把某事物给某人的一种行为
offer|vt.＆vi. offer sth (to sb) (for sth) / offer sb sth 表示你愿意为某人去做某事
open|vt. 提供（机会或可能性）
opt|vi. ~ (for/against sth) 选择（采取或不采取某个行动方案）
option|n. 1 [C, U] ~ (of doing sth) / ~ (to do sth) 可选择的东西；可选择做的事情
optional|adj. 如果你想要你就可以选择去做（或去拥有）的
ordain|vt. ~ sb (as) (sth) 授予某人一个圣职（如神父、拉比）
out|adj.（提议等）不能被接受的
out|adv., prep. out of sth/sb 从…处得到（如从…获得信息或工作等）
owe|vt. 应给予（某人应得的感激、尊重、忠诚）
palatable|adj. ~ (to sb)（想法、方法等）可接受的、合意的
pass|vi. pass (on sth) 说你不想要别人给予你的东西，即免掉
pass|vt. pass sth (to sb) / pass sb sth 把…递给（或传给）某人
penalty|n. [C] ~ (of sth) 为某事付出的代价
percolate|vi.（思想、感觉、信息）在一个群体或事物里逐渐流传、逐渐传开
permeate|vt.&vi. [正式]（气体、气味等）扩散、弥漫到一个物体或地方的各个部分
pervade|vt. [正式] 弥漫、遍及某地或某事物的每一个部分，且在各部分都明显。相当于permeate
pick|n. 1 [sing.] 挑选；选择
pick|vt. 从一群人或事物中进行选择，即挑选
please|exclamation. 用于客气地接受某事或某事物
possibility|n. [C, usually pl.]（在某种情况中）可以从不同的事情中选择去做的一件事情
post|vt. 常用被动式，把某人派驻到某地工作一段时间
posting|n. [C] [尤英] 将某人派驻到某地（让其去该地工作一段时间）
presence|n. [sing.] 被派到某地去处理事情的一群人（尤指一群士兵）
present|vt. 1 present sb with sth / present sth (to sb) 把…交给某人（尤指在仪式上正式交给某人，此时可叫颁发或授予等）
presentation|n. [U] 将某事物给予某人
price|n. [C] 单数名词，price (of sth) / price (for sth/for doing sth) 代价
procure|vt. ~ sth (for sb/sth) [正式] 得到…，尤指困难地得到…
projection|n. [U]（嗓音或声音的）发送，传送，放开
promulgate|vt. [正式] 传播思想、信仰等
propagate|vt. [正式] 传播一个观点、思想、信仰或信息
prophet|n. [C] ~ (of sth) 传播或支持一个新的主义、理论等的一个人
propose|vt. ~ sth / ~ sb (for/as sth) 在正式会议上提名某人并让人们就其表决
provide|vt. provide sb (with sth) / provide sth (for sb) 把某事物给某人，或使其对该人可用，即提供、供应，相当于supply。是此义的一个常规用词
provision|n. 1 [U, C, usually sing.] 提供（给某人）供给；也可指对某人的供应物
provision|vt. [正式] [常用被动式] ~ sb/sth (with sth) 为某人或某事物提供所需物品（尤指提供能够持续一段时间的食物）
rage|vi.（疾病、火焰等）迅速蔓延
rather|adv. would rather 用于表示“宁愿”、“宁可”
reap|vt. 取得（自己先前所做之事的）成果、得到回报
rebuff|n. [C] [正式]（对一个友好要求、请求或建议的）不友好的拒绝
receipt|n. [U] receipt (of sth) 正式用法，指接收…、收到…
receive|vt. 1 [较正式] receive sth (from sb/sth) 收到或接收（被送达或给予你的东西）
receiver|n. [C] 某事物的接收人
reception|n. [U] 接收、接纳某人（的行为）
recipient|n. [C] [正式] 接受者；领受人
refer|vt. refer sb/sth to sb/sth 将…送交给…（以寻求帮助、建议或决定）
refine|vt.（通过去除一种物质中的其它物质来将此物质）提纯，如提炼、精炼
refinement|n. [U] 提纯、提炼、精炼
refund|n. [C]（尤指由于支付太多，或由于退货而产生的）被退还的款项
refusal|n. [U, C] ~ (of sth) / ~ (to do sth) 拒绝（做、给予或接受）
refuse|vi. 拒绝（某人让你做的事）
regain|vt. 重新获得，尤指重新获得一种能力或品质
reimburse|vt. [正式] ~ sb (for sth) 退还（某人已花费的钱）
reject|n. [C] 因有毛病或故障而不能使用或售卖的一个东西，即废品，次品
reject|vt. 1 拒绝接受或拒绝考虑某事物（如一个论点、想法、计划等）
rejection|n. [U, C]（对论点；想法；计划等的）拒绝、回绝、不予考虑
remember|vt. 把钱、礼物等给某人
repudiate|vt. [正式] 拒绝接受某事
restoration|n. [U] ~ (of sth)（对某事物的）归还
restore|vt. ~ sth (to sb/sth) [正式] 归还某人丢失或被盗的东西
return|vt. return sb/sth (to sb/sth) 送回，归还
secure|vt. secure sth (for sb/sth) / secure sb sth 为正式用法，指获得或实现…，尤指经过很多努力而获得或实现…
seep|vi. 某事物（如秘密信息等）逐渐传开
select|vt. select sb/sth (as/for sth) / select sb/sth (from sth)（通常根据一种制度）从一群人或事物中选择某人或某事物，如挑选、选拔
selection|n. 1 [U]（通常根据一定的标准，对人或事物的）选择、挑选、选拔
selective|adj. 1 [常用于名词前]（在一个更大的群体中）选择性的、有选择的
send|vt.＆vi. 向某人传达信息
should|modal verb. 用于拒绝某事
shower|vt. shower sb with sth / shower sth on sb 大量地给予某人某东西
sift|vt. ~ sth (out) from sth 从一群事物中区分、挑选出…
skim|vt. skim sth/sb↔off 攫取（最好的部分）；捞取（精华部分）
slot|vt.&vi. 把某人安插在某个职位上
snatch|vt.&vi.（常指粗鲁地）一把抓起、一下子夺过。相当于grab
soak|vt. [非正式] 向某人索要极高的价格（即敲竹杠）
specify|vt. 具体指定
sponge|vi. [非正式，贬] ~ (off/on sb) 白白得到金钱、事物等（而不需要付出什么）；靠别人养活。相当于scrounge
spread|n. [U] 传播，蔓延，散布，扩展等
spread|vt.＆vi. 在人们之间流传，传播；或使流传，使传播。是一个常规用词，极为常用
squeeze|vt. [非正式] squeeze sb (for sth) 通过给某人施压（或通过威胁等手段）来获取…，即勒索。带有逼迫意味
stalk|vt.&vi.（死亡、恐惧、罪恶等）蔓延、肆虐一个地方
station|vt. 常用被动式，指派遣某人到一个地方工作一段时间，尤指派驻军事人员
stick|vi. 被接受
sting|vt. [常用被动式] [非正式] ~ sb (for sth) 对某人敲竹杠，索要高价
stray|vi. 从原本应该所在的地方移开，如迷路、偏离、走失
strip|vt. ~ sb of sth 剥夺某人的财产、荣誉、权力、权利、头衔等（作为一种惩罚）
submission|n. 1 [U]（向权威部门）提交、呈递（文件、建议等）
submit|vt. submit sth (to sb/sth) 将一份文件、提议等呈递或提交给当权者（以供其研究或考虑）
supply|n. 1 [C] 某事物（一般指物资）的供应量，供给量
supply|vt. supply sb/sth (with sth) / supply sth (to sb/sth) 提供…所需，尤指大量提供、供应、供给
surrender|n. [U, sing.] ~ of sth (to sb) 被迫交出…，尤指在战争等过后的被迫交出
surrender|vt. ~ sth/sb (to sb) [正式] 被迫交出
sweep|vt.＆vi.（思想或时尚）迅速传播
take|vt. take sth from sth/out of sth 从某个来源中获得…
take|vt. 接受或收到。是一个简单用词，日常生活中较常用
take|vt. 选中，买下，或租用
tap|vt. [美] 常用被动式，选定某人去做某项工作，也可叫指定，委任等
task|vt. [正式] task sb (with sth) 交给某人任务（让其去做）
tender|vt. [正式] ~ sth (to sb) 将某事物（如建议、辞呈、金钱等）正式提供给某人，如提出、递交、呈交、缴纳
to|prep. 用于引出…的接收者，即给，予
to|prep. 用于表示动作的动词之后，指为了给，以提供
transfer|n. 1 [U, C] 信息的传递、知识的传播
transfer|n. 1 [U, C] 资金的转移、转账
transfer|vt.&vi. 移交权力
transmission|n. [U] [正式] 某事物从一者（如一个人、地方或事物）到另一者的传递、传播
transmit|vt. 传达、传输思想或感情
transmitter|n. [C] [正式] ~ of sth 在两者之间传送…的一个人或事物，如传送者；传输者；传播者
transport|vt. 通过自然的过程来传播，相当于carry
travel|vi.（书籍、思想等）在各地流传或盛行（即不仅在其发源地成功，在其他地方也同样成功）
unthinkable|adj.（某事）在思想上难以接受的
veto|n. [C] ~ (on sth) 某人对某事的拒绝
veto|vt. 拒绝接受、拒绝做（别人建议的事）
wander|vi. wander (away/off) / wander (from/off sth)（人或动物）偏离正道或走失
wastage|n. [U] [英] 雇员的减员；学生（或学员）的流失人数
welcome|vt. 乐于接纳或欣然接受
well|exclamation. 用于表示接受不能改变的事实
whatever|det., pron. [非正式] 用于表示你不介意自己做…（或拥有…等），且什么都可以接受，即什么都可以
win|vt.（尤指通过自己的努力）赢得自己想要的东西
yield|vt. ~ sth/sb (up) (to sb) [正式] 把自己的东西交由别人控制
