abate|vt.&vi. [正式]（使）减弱
idle|adj. it is idle to 徒劳的、无用的、无意义的
ignite|vt. [正式]（使）激动，引起强烈感情
illiterate|adj. 通常在名词或副词之后，指对某一学科了解不多的、外行的
illuminating|adj. 使…更易于理解的，如富于启发性的
illumination|n. [U] [正式] 对某事的解释、阐明，尤指宗教或精神上的启发、觉悟
impact|n. [C, usually sing, U] ~ (of sth) (on sb/sth) 对某人或某事物产生的巨大影响
impact|vt.&vi. ~ (on/upon) sth 对某事物有影响、有作用
impair|vt. [正式] 削弱某事物（如削弱能力或运转方式）
impel|vt. ~ sb (to sth) 一个想法或一种感情迫使你去做某事
impetus|n. [U, sing.] ~ (for sth) / ~ (to sth/to do sth) 促使一个进程（或活动）加速的因素，可称为动力
impinge|vi. [正式] ~ (on/upon sth/sb) 对…有明显作用（或影响），尤指有坏的作用（或影响）
implication|n. [C, usually pl.] ~ (for/of sth)（一个行动或决策的）可能的影响（或作用）
implication|n. [C, usually pl.] ~ (for/of sth)（一个行动或决策的）可能的结果
imply|vt.（一个事件或一种情况）意味着…
impose|vt. ~ sth (on/upon sth/sb) 推行或采用一项新法律、规则、税收、技术、解决方案等；（权威方）以命令的形式强制实行一项规则、惩罚措施等
impotence|n. [U]（对事情或形势）无能为力
impotent|adj. 没有能力去改变事情或影响局势的
impractical|adj.（人）不善于规划或组织的
impression|n. [C] impression (on sb)（一段经历或一个人对某人或某事物所产生的）影响或效果
impressionable|adj. 人（通常指年轻人）易受影响的、无主见的、无判断力的
impulse|n. [C, usually sing., U] [正式] 某件事的刺激因素
in|prep. 用于表明某事物的品质等
inability|n. [U, sing.] ~ (to do sth) 无能、不能
inactive|adj. 无行动的；不活跃的
inactive|adj. 没有效果的
inactivity|n. [U] 不活跃
inadequacy|n. [U] 不能胜任
inadequate|adj. 1（人）没有足够的能力或信心去处理一种情况的。相当于incompetent
incapable|adj. 1 ~ of sth/of doing sth 没有能力做某事
incite|vt. ~ sb (to sth) / ~ sth（尤指通过激怒或刺激某些人）煽动、鼓动（暴力、非法行为或坏事）
incompetence|n. [U] 因缺乏能力而不称职
incompetent|adj. 无办事能力的、不称职的、不能胜任的
inconclusive|adj. 1（研究）无结论的
indefensible|adj.（地方或建筑物）对军事攻击无法防御的
indestructible|adj. 强大到不可轻易被摧毁的
induce|vt. [正式] 引起，导致
inducement|n. [C, U] ~ (to sb) (to do sth) 诱因
ineffective|adj. ~ (in doing sth) 没有达到预期效果的，没有任何效果的，即无效的
inefficiency|n. [U, C] 低效
inefficient|adj. 效率低的，浪费（时间、金钱、精力等）的
ineligible|adj. ~ (for sth/to do sth) 无资格的；不合格的
inept|adj. 做事缺乏技巧的，完成得缺乏技巧的，如笨拙的
inexperience|n. [U] 缺乏经验
inexperienced|adj. 缺乏知识或经验的
infect|vt. 影响
influence|n. 1 [U, C] influence (on/upon sb/sth) 某人或某事物对一个人的思维方式、行为方式（或对某事物的运行方式、发展方式）所产生的影响或作用。是一个常规用词，极为常用
influence|vt. 1（尤指通过提供一个可供追随或模仿的范例而）对某人的行为方式或思维方式产生影响
influential|adj. ~ (in sth/in doing sth) 很有影响力的
inform|vt. [正式] 对某事有影响
infuse|vt. [正式] 对某事物的各部分产生影响，即全面影响
initiative|n. 1 [U] 主动性、自发性（而非等着别人告诉你如何去做）
insensitive|adj. ~ (to sth)（对某事物）无感觉，无反应
insensitivity|n. 1 [U] 不敏感性
inspiration|n. [C, usually sing.] ~ (for sth) 使人产生灵感或动机的人或事物，即灵感的来源、原型
inspire|vt. 常用被动式，激发某人的灵感（尤指艺术灵感）或想象力
inspired|adj. -inspired 与名词、形容词以及副词构成形容词，指受…影响的
inspired|adj. 借助于灵感而产生的
inspiring|adj. 启发灵感的
intensive|adj. 1 为完成某一任务而在短时间内集中人力等资源进行大量工作的，如密集的、强化的、紧张的
interact|vi. ~ (with sb)（两个事物）相互影响、相互作用
interaction|n. [U, C]（各物质间的）相互作用
into|prep. 用于表示行动的结果
introduce|vt. 作为某个新事物的开始，如引出，引发等
invalid|adj. 1（法律上或官方）不承认的；无效的
invincible|adj. 不可战胜的
invite|vt. 使某事（尤指坏事或令人不快的事）很可能发生，即招致
irresistible|adj. 不可抵抗的；不可抗拒的；不可遏止的
job|n. [C] 起到的作用
just|adv. 置于动词前，用以暗示某事的后果是不良的，且很可能使情况变得更糟，即只会
justification|n. [U, C] ~ (for sth/doing sth) 正当理由；合理的解释
knack|n. [sing.] ~ (of/for sth) / ~ (of/for doing sth) 天生的（通过学习获得的）特殊技能或本领（尤指别人觉得很难的本领）
lapse|vi. 逐渐变弱
lay|adj. 只作前置定语，指在某一学科上没有专业知识或专业资质的，即外行的，非专业的
lead|vi. lead to sth 导致，造成后果（通常为导致不愉快的情况）
lean|adj.（组织机构等）因精简了人员而变得高效的，即精干的
leave|vt. 使（或让）…仍然处于某种条件、状态或地点等
leave|vt. 某事件结束后，导致某人或某事物处于某种状态，即让某事发生，造成，致使；使留下为（某种结果）
lemon|n. [C] [尤美，非正式]（由于不能起到该起的作用而）无用处的东西，相当于dud
lessen|vt.&vi.（使）变得更弱、更不重要等
let|vt. 1 无被动式，用于提出建议。是“让”、“允许”的基础用词，含义极为广泛，也极为常用。但与make相比，let使用场合比较随意，一般不太正式
lever|n. [C] ~ (for/against sth) 施压的行为
leverage|n. [U] [正式]（能够操控形势的）影响力
literacy|n. [U] 读写能力
literate|adj. 1 有读写能力的
lull|vt.&vi.（使）某事物变得不强烈，如（使）减弱、缓和
make|vt. 1 使成为；使变得。是“使”的常规用词，含义极为广泛，也极为常用
malleable|adj.（人、思想等）易受影响或易被改变的，即有可塑性的
master|adj. 只作前置定语，用于描述精于某个职业的人，即精通的，熟练的
mean|vt.＆vi. 有…结果，或有可能产生…结果，即意味着…
meaningless|adj. 1（事情）毫无意义的；毫无目的的
mediate|vt. [正式，或术语] [常用被动式] 影响…的发生；使…可能发生
meet|vt.＆vi. 某事物（如一项建议或提案、一本新书等）遇到人们的某种反应
might|n. [U] [正式或文学] 强大的力量、能量或影响力，也可叫威力
moderate|vt.&vi.（使）变得不极端、不严重，如缓和、节制、减弱
momentum|n. [U] 保持增长或发展的能力，如动力、势头
motivate|vt. [常用被动式]（尤指心理或情绪）成为某人做某事（或某人的行为方式）的动机或原因
motivated|adj. 有积极性的
motivated|adj. 由…所激发或引起的
motivation|n. [U] 做事的积极性
mould|vt. ~ sb/sth (into sb/sth) 对某人性格、观点等的形成产生强烈影响
move|vt. [正式] 促使（或影响）某人去做某事，相当于prompt。不太常用
muscle|n. [U] 权力；影响力
mute|vt. 减弱（尤指乐器的）声音
naked|adj. [不常用于名词前]（对于受到的伤害、批评等）不能保护自己的，即无防备的、赤手空拳的
neat|adj.（人）做起事来干净利落的
negative|adj. 只考虑不好方面的，缺乏热情或希望的，如消极的
neutralize|vt. 使…无效
new|adj. new (to sth) 因为你刚刚开始而对某事物还不熟悉的，如初学乍练的
now|adv. 用于表明某一情况是刚刚所发生之事的结果，可称作这样一来
now|conj. now (that) ... 由于（正发生或已发生的事），既然
oblige|vt. [常用被动式]（法律、规定或形势）迫使某人去做某事
occasion|n. [U, sing.] ~ (to do sth) / ~ (of/for sth) [正式] 理由、原因
occasion|vt. [正式] 使某事发生，即引起、造成、导致
of|prep. 1 用于由动词转化而成的名词之后，of之后的名词可以是动作的发出者，也可以是动作的承受者
of|prep. 用于某些形容词后，后接与感情相关的人或事物，可理解为因为，由于
offender|n. [C] 造成问题的一个人或事物，妨害…的一个人或事物
oh|exclamation. 用于对所说的话进行反应（尤指表示领悟了以前不知道的…），即哦，唔
one-sided|adj.（竞争或关系）实力悬殊的；一边倒的
only|adj. 用于说明某人仅能做到如此（尽管这可能还不够），即仅此而已，只能
only|adv. 1 用于说明某事将会产生一个糟糕的效果或影响，即只会，愈加
open|adj. open (to sth) 无防范的，易于受到批评、伤害等的，相当于vulnerable
operate|vi.（某事物）起作用
origin|n. [C, U] 某事物的起因，原因
out|adv., prep. out of sth 表示某事发生的原因，即因为，出于。与from一样，二者都是从原因的来源的角度做出的定义
outcome|n. [C] 行动或事件的效果
outcome|n. [C] 行动或事件的结果。因果关系并不强，只是更强调事件的结局，且用法上一般较随意
outside|adj. 只用于名词前，不属于本团体（或机构、国家等）的；与本团体无关的
overcome|vt. 常用被动式，受到某事物的极大（或强烈）影响，相当于overwhelm
overwhelming|adj. 巨大或强烈得让人无法抵挡（或让人不知所措）的
owe|vt. owe sth to sb/sth / owe sb sth 归因于
paltry|adj. 无价值的、无用的
passive|adj. 接受所发生的事（或人们所做的事），而非尝试去改变或反对任何事的。即消极的，被动的
peak|adj. [只用于名词前] 巅峰状态的
peak|n. [usually sing.] 状态上的顶峰、即最佳、最强、最成功的一种状态
peak|vi. 达到最高点、达到高峰、达到最高值
perform|vt. 事物行使某种功能
pick|vt. pick a fight with sb可表示故意挑衅（以打架）
pinnacle|n. [usually sing.] ~ of sth（某人在某个生活领域或其职业生涯的）顶峰
pitch|n. [sing., U] 感情、活动等的程度、力度、强度；某事物的最高点、顶点
play|n. [U] 活动；作用；影响。是一个简单用词
play|vt. play a part/role (in sth) 起作用，发挥作用
pliable|adj.（人）易受影响的或容易受控制的
pointless|adj. 无目标的；无意义的、不值得作的
polished|adj. 自信且（或）娴熟的
poor|adj.（人）技术差的，不擅长的
positive|adj.（回应）积极的，如表示赞同的，表示支持（或拥护）的，表示鼓励的
possibility|n. [pl.] possibilities 可被成功改进（或做成）的余地，即潜力，相当于potential
potency|n. [U, C]（一个的人、行动或思想对别人的生活、感情或信仰所具有的）影响力，支配力
potent|adj. 1（对人的影响）有力的
potential|n. [U] 存在并可以得到开发的品质，如潜力、潜质，相当于promise
power|n. 1 [U] power (over sb/sth) / power (to do sth) 对人、事物、活动等的控制力、影响力
powerful|adj. 1（人）能够控制且影响人们和事件的，即具有影响力的，相当于influential
powerless|adj. 1 无影响力的、无权势的
practical|adj.（一个人）善于制作或修理东西的，如心灵手巧的，相当于handy
precipitate|vt. [正式] ~ sb/sth into sth 迫使某人或某事物突然陷入某种状态
precipitate|vt. [正式] 使某事（尤指坏事）突然发生或比预期更快地发生
present|vt. present sb with sth / present sth 使发生或使经历（麻烦或问题等）
press|vt. press sb (for sth) / press sb (into sth/into doing sth) 付出极大的努力以劝说或强迫某人去做某事
pressure|n. [U] pressure (for sth) / pressure (on sb) (to do sth) 尝试劝说（或强迫）某人去做某事的行为
pressure|vt. [尤美] pressure sb (into sth/into doing sth) 常用被动式，劝说某人去做某事，尤指通过让其感觉到其不得不去做或应该去做，即逼迫，使迫不得已
primitive|adj. 常用于名词前，（感觉或欲望）强烈且无理性的，像人类生活的早期一样的
pro|adj. [只用于名词前] [尤美]（在体育领域）职业的、专业的
produce|vt. 产生某一结果或效果，类似于bring about
product|n. 1 [C] 自然、化学或工业过程所产生的事物
productive|adj. [正式] ~ of sth 引起、导致
professional|adj. 1 [只用于名词前] 需要专业技能（尤指需要高水平的教育）的工作的，即专业的
proficiency|n. [U] ~ (in sth/in doing sth) 熟练度
proficient|adj. ~ (in/at sth) / ~ (in/at doing sth) 因受过训练或熟练而能把某事做好的
prompt|vt. 促使某人决定做某事；导致某事发生
propel|vt. [常用被动式] 朝某个方向移动某事物
provocation|n. [U, C] 招惹
provoke|vt. 引起某个反应，或具有某个效应
prowess|n. [U] [正式] 高超的技艺，深厚的造诣，非凡的技能
pull|n. [U] [非正式]（对他人的）影响力
punch|n. [U] 某事物的影响力、效力
push|vt. 1 使某人努力工作，即鞭策，督促
qualification|n. 1 [C] 为某一工作或活动所需的一项技能（或一种经验），现实中可称为资格、资历
qualified|adj. 1 ~ (for sth)（为了做某项工作）具备…学历的；（经培训后）具备…资质的
qualify|vi. ~ (as sth) 取得做某项工作的资格（如通过资格考试）
quality|n. [U, C] 事物的质量或品质
raise|vt. 引起；导致；使…出现（如唤起某种感情或引发某个疑问）
rationale|n. [C] [正式] ~ (behind/for/of sth)（某一决策、行动、信念等的）基本原理、根本原因、合理性的根据
raw|adj. 常用于名词前，（人）对于一份工作或一项活动来说生疏并因此而没有经验或技能的
react|vi. react (to sth) (by doing sth) 由于…（或针对…）而发生某种变化或做出某种行为，即起反应；（对…）做出反应；回应（与respond和reply类似，主语一般是做出反应的人等，一般可互换）
reaction|n. 1 [C, U] ~ (to sb/sth)（人）对已发生的事作出的反应
realization|n. [U, C] [正式] ~ (of sth) 产生的东西
reason|n. 1 [C] reason (why ...) / reason (that ...) / reason (for sth/for doing sth)（已发生事件或某人已做的事件的）原因或解释，理由
receive|vt. receive sth (with sth) 常用被动式，以某种方式对某种新事物做出反应
reception|n. [sing.] 给予某人或某事的反应或反响
reciprocate|vt.&vi. ~ (sth) (with sth) 对某人的行为或情感做出回应
reflex|n. 1 [C]（不需要思考而作出的）习惯性的动作或习惯性的反应
repercussion|n. [usually pl.] 事件的间接结果或影响，且通常为坏的结果或影响
repercussion|n. [usually pl.] 事件的间接结果（且通常为坏结果）
repertoire|n. [sing.]（一个人或事物的）全部技能（或才能）
reply|n. [C, U] 以某种行动对某人或某事做出的回应
reply|vi. reply (to sth) (with sth) 通过行动来对某人所说的话（或所做的事）进行回应
respond|vi. 1 respond (to sth) (with sth/by doing sth) 通过做某事而对某人所说过的话（或做过的事）进行回应，相当于react
response|n. 1 [C, U] ~ (to sb/sth) 对已发生的事或已说的话作出的反应、回应
responsible|adj. ~ (for sth) 作为…的原因的
responsive|adj. 1 [名词前不常用] ~ (to sb/sth) 反应敏捷的；反应积极的
result|n. 1 [C, U] result (of sth) 由某事所引起或产生的结果或后果。是“结果”的基础和常规用词，最为常用，词义范围也最广
result|vi. 1 result in sth 导致
return|n. [C] 回报，回应
return|vt.（以相同的事物或行为来）回报，回应
role|n. [C] 在一种情况或一项活动中，某人或某事物所卷入的程度（即在多大程度上卷入了该情况或活动）；也可指该人或事物对该情况或活动所造成的影响
root|n. [C, usually sing.] 事物（例如问题或艰难情况）的主要原因、本质
rusty|adj. [不常用于名词前] [非正式]（体育运动、技能等）因未练习而荒废、退步
sag|vi. 减弱
sap|vt. ~ sth / ~ sb (of sth) 使某事物更虚弱；逐渐破坏某事物
seasoned|adj. [常用于名词前]（人）在某一方面经验丰富的
send|vt. 1 告诉某人去某地或去做某事；安排某人去某地
seniority|n. [U]（一个人在公司的）因工作时间而具有的级别，即资历
senseless|adj. [贬] 无意义的、无目的的、无益处的
sensitive|adj. sensitive (to sth) 能够测量出微小的变化的，即对微小变化敏感的
sensitivity|n. [U] 测量的灵敏度
sequel|n. [usually sing.] ~ (to sth) 后续的事情，随之而来的事，结果
serve|vi. serve (as sth) 产生某种效果或结果
shadow|n. [sing.] shadow of sb/sth … 的强烈影响（通常指坏的影响）
shape|vt. 对…的发展（或产生）历程产生重要影响
since|conj. 因为，由于。不常用
since|conj. 既然
skew|vt. 改变或影响某事，使其结果不准确、不公正、不正常等
skilled|adj. 1 ~ (in/at sth) / ~ (in/at doing sth)（人）有足够的技能、经验和知识，从而能够把某事做好的，如熟练的
slap|vt. (不合理或草率地)施加(赋税、禁令等)
so|conj. 1 用于表明某事的原因，即因此，所以
sophisticated|adj. 1 见多识广的；老练的；善于社交的
sophistication|n. [U] 精明老练、在行
source|n. [C]（尤指问题、困难的）起源、根源、原因
spark|n. [C] 引起重要事情（尤指麻烦或暴力）的一个行动或事件，即诱因、导火线
spark|vt. ~ sth (off) 引起或触发某事（使其发生或发展），尤指突然引起
specialist|adj. 只作前置定语，专业的
specialized|adj. 专业化的
spontaneous|adj. 未经筹划而完成的，如自发的
stem|vi. ~ from（不用于进行时）由…造成
sterile|adj.（讨论、争论等）不产生任何有用的结果的
stiff|adj. 比通常情况更强的
stimulate|vt. 促进某事物的发展，使某事物变得更活跃，如促进、激发、激励
stimulating|adj. 1 能激发人的兴趣或想法的；能激发人们的热情的。相当于inspiring
stimulation|n. [U] 刺激
stir|vt. ~ sb (to sth) 激发（想象力等）
stir|vt.&vi. [英，非正式，贬] 拨弄是非、挑起麻烦
straw|adj. [美] 无实质的、几乎没什么价值的
