accolade|n. [C] [正式] 赞扬、表扬；奖励、奖赏。也可称为荣誉
disintegrate|vi.（国家、组织机构、制度、价值观等）瓦解。算是一种形象化用法
disintegration|n. [U]（国家、组织机构、制度、价值观等的）瓦解
dismal|adj. [非正式] 不成功的
dismissal|n. [U, C]（在板球运动中球员或球队的）出局
dispose|vi. [正式] dispose of sb/sth 击败某人
distinction|n. [C, U] 由于某人（尤指一名学生）的出色表现而给予其的一个特别的分数、等级或奖励
dive|n. [C] 地位的突然暴跌，常见于通讯用语
dog|n. [C] [尤美，非正式] 低质量的一个东西；一次失败
doom|vt. [常用被动式] ~ sb/sth (to sth) 使…注定失败（或遭殃、死亡等）
double|n. [sing.] the double可指（在同一赛季或年份）赢得两场重要比赛（或两次打败同一对手）
downfall|n. [sing.] 一个人的金钱、权力、社会地位等的丧失；也可指造成上述丧失的原因。如衰落、衰败、垮台
draw|n. [C] [尤英] 比赛（如体育比赛）中的平局
draw|vt.＆vi. draw (with/against sb)（比赛或游戏）以平局结束，即不分胜负
drive|n. [U] [褒] 一种做某事（或达成某事）的强烈愿望，冲劲儿、干劲儿。比energy更强调一种积极的势头
dynamic|adj. [褒]（人、物品）精力充沛的，充满活力且个性强的。强调个体的蓬勃生机，而不太强调群体的热闹感
dynamic|adj. [褒]（组织）生机勃勃的
eclipse|n. [sing, U]（重要性、权势等的）丧失，尤指由于另一者变得更重要、更有权势等
effect|vt. [正式] 使…发生，实现；官方规定、规划、计划等的实行
elemental|adj. [常用于名词前] [正式]（感情、行为等）单纯的，质朴的，粗犷的
energetic|adj. 拥有（或需要）很多精力、能量和热情的。与dynamic无明显区别。只是energetic可表示运动之“剧烈”（而dynamic则不可）
energy|n. 1 [U]（做体力劳动或活动时的）精力，活力
erosion|n. [U]（道德的）沦丧
even|adj.（两个人或两支团队）处于同一水平的、不相上下的、势均力敌的
exuberance|n. 1 [U]（行为的）热情洋溢、兴高采烈
fail|vi. fail (in sth) 不成功达成某事，未能做某事。如失败
failure|n. 1 [U]（在做某事或达成某事方面）失败
fall|n. [sing.] fall (of sth)（政权或经济等的）垮台或崩溃；成功的丧失（即崩溃）；战争中（城市、国家等）的失守、沦陷或灭亡
fall|vi. 被打败；沦陷；失守；（政权等）垮台
fare|vi. fare badly, etc. 在某种情况中不成功，相当于get on
fare|vi. fare well, badly, better, etc. 在某种情况中成功或不成功，相当于get on
feat|n. [C] [褒] 需要技能、力量和勇气的一个行为（该行为因其伟大和艰难而令人敬佩），如功绩、伟业、壮举
fecund|adj. 有创造力的；（尤指）能提出新颖想法的；成就斐然的；硕果累累的
feed|vt. 满足一个需要（或愿望、欲望等）以使其保持充实或强大
ferment|n. [U, sing.] [正式] 活跃（且通常无序）的发展
fiasco|n. [C]（事件或企图）惨败，常指可耻的失败或尴尬的失败
fill|vt. 满足（人的需要）
finish|vi.（速度比赛或其他比赛、事件结束时）获得某个名次
flavour|n. [sing.] ~ of the month 红极一时的人物、风靡一时的事物
flop|n. [C]（电影、戏剧、聚会等）失败
flop|vi. [非正式] 完全失败
flourish|vi. 繁荣、兴旺、昌盛。相当于thrive
flower|vi. [文学] 变得更成功，例如政治运动壮大、关系等变得更好
fly|vi. [美]（计划）成功
fold|vi.（一家公司、一出戏剧等）由于失败而倒闭或停演
founder|vi. [正式] ~ (on sth)（计划等）由于问题或困难而失败
fracture|vt.&vi. [正式]（使）（团体、组织机构等）分裂
fresh|adj. 常不用于名词前，精力充沛的
fruit|n. [pl.] the fruits可指好的结果或回报，即成果
fruitful|adj. 成果丰硕的、富有成效的
fruition|n. [U] [正式]（计划、过程或活动的）实现，取得成果
frustration|n. [U] [正式] ~ of sth 受挫、受阻、挫败
fulfil|vt. 实现（希望或期望等）
fulfil|vt. 满足（条件等）
fulfilment|n. [U] 实现
gear|vt. gear sth to/towards sth [常用被动式] 使满足需要
get|vt. 无被动式，指（在考试中）达到或获得（某一等级或分数）。是一个简单用词
give|vt. 给…评定（等级或分数）。是一个简单用词
glory|n. 1 [U] 被给予某人的荣誉、光荣或赞扬（因其完成了某件重要的事）
go|n. [U] [英] 精力；活力；热情；干劲
go|vi. go to/into sth / go out of sth 用于很多表达法中，以表明…已达到（或已不再处于）某种状态
god|n. 1 [C] 极受崇拜的人；被崇拜的偶像。一般程度极深
gold|n. [U, C] 金牌，与gold medal同义
grade|n. [C] 考试或学校作业的成绩等级，分数等级
grade|vt. [尤美] 给学生或其功课等评分
hammer|vt. [非正式] 非常轻易地打败某人
hammering|n. [C, usually sing.] [英，非正式] 严重的挫败
havoc|n. [U] 比喻意义上的灾害、浩劫
healthy|adj.（组织或系统等）繁荣的
hero|n. 1 [C] 英雄，尤指男英雄
heroic|adj. 关于英雄的
heroine|n. 1 [C] 女英雄
hot|adj. 1 指问题或话题等热门的，为新闻用语
huge|adj. [非正式] 非常成功的
hum|vi.（地方）活跃、热闹、繁忙
humble|vt. [常用被动式] 轻松击败对手（尤指强大的对手）
icon|n. [C] 人们所崇拜的一个著名的人或事物，将其作为某一思想、生活方式等的象征或标志。如崇拜对象、偶像
idol|n. [C] 极受热爱或崇拜的人或事物，如偶像
incomplete|n. [C] [美] 学生没修完所有课程时所得到的评分
indifferent|adj.（水平或质量）不是很好的，即一般的
indulge|vt. 满足（欲望、兴趣等）
judge|n. [C] 比赛的裁判员
judge|vt.＆vi. 在竞赛中进行裁决或评判；或在竞赛中担任裁判或评委
jump|vi. [非正式] be jumping 可表示非常活跃、活泼等
king|n. [C] king (of sth) 某类人、动物或事物中最佳（或最重要）的一个
knight|vt. [常用被动式] 封某人为爵士
kudos|n. [U] 某人或某事物的（随着成就、地位、某个行为而来的）荣誉
lag|vi. ~ (behind sb/sth) / ~ (behind) 发展缓慢；或比其他人、组织机构等缓慢。即落后
laggard|n. [C] [旧时] 一个迟钝懒惰的人、机构、公司、产品、国家等，如落后者
lead|n. 1 [sing.] the lead 可指竞赛或竞争中的领先地位
lead|vt.＆vi. lead (sb/sth) (in sth)（在某领域或比赛、竞争中）处于最佳；处于首位；处于领先地位
leader|n. [C] 在一场比赛或商业等活动中，处于领先地位（或最佳）的一个人或事物
legend|n. [C]（尤指某领域中的）传奇性的人物
level|adj. [尤英] level (with sb) 体育运动中可指与某人得分相同的
lie|vt.＆vi. [英]（在比赛期间）处于某一位次，即名列，排名
life|n. [U] 生命力，活力，生气，相当于vitality
lively|adj. [尤英] 繁忙活跃的，兴旺的
lose|vt.＆vi. lose (sth) (to sb) / lose (sth) (by sth) 被打败；输掉（比赛、诉讼案件、争论等）
loser|n. 1 [C]（比赛、竞争等的）失败者、输家
loss|n. [C] 比赛的失利，输
make|vt. 使某事成功；使圆满
make|vt. 使（分数）升为（某数）
margin|n. [usually sing.] 获胜者在时间或票数上领先的幅度或差额
mark|n. [C] [尤英] 对某人的工作、表现或其给出的答案所给出的一个成绩或分数（可以是一个数字或字母）
mark|vt.＆vi. [尤英] 给学生的作业打分、评分、打成绩
massacre|n. [C, U] [非正式] 运动或比赛、竞争中的惨败
massacre|vt. [非正式] 在运动或比赛、竞争中使某人惨败
match|vt. 提供合适或足够的东西，即适应，满足
materialize|vi.（通常用于否定式）实现；使某事按照预期或计划发生、成为现实
maul|vt. [非正式] 轻易击败某人
medal|n. [C] 奖章，奖牌，勋章。是一个基础和常规用词
medal|vi. 在比赛中获得奖牌
meet|vi. 获得成功
meet|vi. 遭遇失败
meet|vt. 满足…的要求（或需要）。是此义的常规用词，不如satisfy正式，但meet的使用范围极广，也极为常用
merit|n. 1 [C] [英]（学校或大学考试或作业的）良好（是一种成绩等级）
misfire|vi.（计划或笑话）不起作用
moderate|vt.&vi. [英] 查看不同阅卷人所打分数是否公平一致，即审核评分
moderation|n. [U] [英] 教育领域中的评分审核制，即对不同的人采用相同的评分标准
mundane|adj. [常贬] 平淡的、平凡的
murder|vt. [英，非正式]（尤指在团队体育运动中）彻底打败某人，相当于thrash
nail|vt. [美，非正式]（尤指体育运动中）达成某事或做得对，即获得，赢得
narrow|adj. 常用于名词前，刚好实现（或达到、取得）了的
negotiate|vt. 通过正式商讨来达成（协议）
new|adj. 拥有新鲜的活力、勇气或健康的，如富有朝气的，生机勃勃的
notch|vt. [非正式] ~ sth (up)（尤指在体育比赛中）赢得、取得（胜利或高分）
nudge|vt.（使）达到某个水平、数量、状态
ordinary|adj. 1 常用于名词前，在任何方面都并非不寻常（或不同）的，如普通的、一般的、平常的、平凡的
out|adj.（在比赛等活动中）出局的
out|adv., prep. 1 板球、棒球等运动中可指出局
overcome|vt. 战胜某人，击败某人
overwhelm|vt. [常用被动式] 彻底击败…
owe|vt. owe sth to sb/sth / owe sb sth 把成功归功于，感激，得益于
pack|n. [C] 比赛或竞争中落后者的统称
paralysis|n. [U]（活动、工作等）能力的完全丧失，瘫痪
payment|n. [U, sing.] ~ (for sth)（用物品或行为）报答、报偿（以表示感谢）
phenomenon|n. [C] phenomenons 在美国可指非常成功的一个人或事物
place|n. [C, usually sing.]（速度比赛或其他竞赛中）获胜者的名次
place|vt. 经过与其他…相比较而把…排名次
plain|adj. 1 不尚修饰的或不复杂的，简单的，朴素的。是“朴素”的常规用词
point|n. [C] 在一些竞赛或体育比赛中，可指一个分数点（将各个分数点加到一起就得到一个相应的总分）
position|n. [C] 速度比赛，各种竞赛或测试中（与其他人对比时所产生）的名次
premier|adj. 最重要的，最有名的或最成功的，只作前置定语
presentation|n. 1 [C] 授予赠品、礼品或奖品的一个仪式或正式场合，即赠送仪式、颁奖仪式
presenter|n. [C] [美] 仪式上的颁奖人
prevail|vi. [正式] ~ (against/over sth)（提议、原则、思想、观点等）（尤指长时间斗争或争论后）被接受、战胜、占上风、占优势
prize|adj. 只用于名词前，（尤指一只动物、一株花或蔬菜）足够好因而在一场比赛中赢得一个奖项的
prize|n. 1 [C] 给予某人的奖、奖励、奖金、奖品、奖项（因其赢得了比赛或在工作中表现出色）。是一种广义上的“奖”（有时可用于具体奖项名称），此时其词义范围与award极其类似，甚至很多情况下可互换。但是，第一，award尤指官方颁发的奖，而prize则无此限制；第二，prize还可指在彩票中抽中的奖；第三，两个词都含有一定的竞争性和荣誉性，但是prize的涵盖范围更广，在个别情况下只含有荣誉性（而无竞争性），比如consolation prize（安慰奖）
productive|adj. 1 生产货物的、种植庄稼的，尤指生产大量货物或庄稼的，如高产的
prolific|adj.（艺术家、作家、作曲家、运动员等）多产的
prosperous|adj.（人们、地方、经济等）有钱且成功的，如繁荣的、兴旺的、富裕的
purse|n. [C] 体育运动中可指拳击赛的奖金
queen|n. [C] queen (of sth) 在某一组织或某一区域里最佳的一个女人（或地方、事物）之一
rate|vt. 常用被动式，将人或事物置于（同类事物的）某个等级中，相当于rank
reach|vt. 实现或达到某一目标。不过常与一些词形成固定搭配
realization|n. [U] ~ (of sth) 目标等的实现的过程
recompense|n. [U] [正式] ~ (for sth/sb)（对某人的）报偿
record|n. [C]（在体育运动或其他活动中所创造的）最好的结果，或最高、最低的水平，即纪录
refresh|vt. 使某人感到不再那么劳累，使其恢复精力
refreshing|adj.（沐浴或饮料）使人减轻疲劳的的
regular|adj. [尤美] 普通的，平凡的，没有任何特殊性的
repay|vt. ~ sb (for sth) / ~ sth (with sth)（通过给予某人…或为其做某事来）报答、回报（此人曾经为你做的事）
report|n. [C] [英] [美用report card]（关于学生在学校的表现的）成绩报告单
restrained|adj.（穿着、装饰等）不是太艳丽的；没有过多装饰的。如朴素的、简单的、淡雅的
result|n. [C, usually pl.] [英] 考试的成绩或得分
result|n. [C, usually sing.] [英，非正式]（尤指足球比赛的）胜利
result|n. [pl.] results成功达成的事，即成果，成效
reversal|n. [C] 从成功状态向失败状态的转变，如倒退。（通常涉及金钱损失的）失败、挫折
reverse|n. [C] [正式] 损失；失败；（从成功到失败的）倒退
reward|n. [C, U] 由于做了好事或工作努力等而获得的回报，报酬，奖励。强调一种付出与回报的对等性。与prize有类似之处，但prize更强调奖励的象征意义，奖品形式也比较多样，而reward则强调这笔酬金对酬劳接受者所具有的实际经济意义（如改善生活水平）
reward|vt. reward sb (for sth/for doing sth) 由于某人做了好事或工作努力等而给予其报酬，奖励，常用被动式
ribbon|n. [C]（用以表示奖励的）绶带；勋带
robust|adj.（体制或组织机构）强劲的、富有活力的
rout|n. [sing.] 溃败、彻底失败
rout|vt. 溃败、彻底失败
routine|adj. 常作前置定语，平常的，通常的，正常的，毫不特别的
satisfaction|n. [U] 满足需要或欲望的行为，如满足、实现、达到等
satisfy|vt. 提供给对方其所想要、需要或要求的事物，即满足（要求、需要等）
score|n. 1 [C] [尤美] 考试或测试中的成绩，分数
score|vi.（在游戏或比赛中）记分
score|vt.＆vi. 1 在考试或测验中得分
score|vt.＆vi. [正式] 成功，或取得优势
scrape|vt.&vi. 艰难赢得或取得、勉强获得
secure|vt. secure sth (for sb/sth) / secure sb sth 为正式用法，指实现…，尤指经过很多努力而实现…
sedate|adj.（生活）平淡无奇的
serve|vt. 能满足某人…的需要。强调一种功用性
setback|n. [C] 挫折；阻碍
severe|adj. [贬]（风格、外貌或衣着）极其简朴的，无任何装饰的
shade|vt. [英，非正式]（在竞赛中）以微弱优势取胜，即险胜
shield|n. [C] 盾形奖牌
shoot|vi. 指某人迅速成功或成名
silver|n. [U, C] 银牌，相当于silver medal
simple|adj. 只用于名词前，（人）普通的，一般的，平凡的，相当于ordinary
simple|adj. 基本（或朴素）而没有任何附加物或不必要的东西的，如朴素的，简朴的，不加修饰的
simplicity|n. 1 [U] [褒] 简洁、自然、质朴、淳朴，没有不必要的部分或复杂的细节
sink|vt. [非正式] 阻止某人或某人的计划，使其失败
slaughter|vt. [非正式] 在体育比赛或竞争中大比分击败…
slot|n. [C]（名单等中的）位置
smash|vt. 大破纪录
snatch|vt. 侥幸获得（胜利）、险胜
sober|adj.（颜色或服装）素净的、淡素的、不鲜艳的
sparkle|n. 1 [C, U] 生气勃勃、生动新颖、亮点
sparkle|vi. ~ (with sth) 生气勃勃、充满热情
spot|n. [C]（竞争或赛事中的）一个位置排名
spring|n. [U, sing.] 活力；朝气
square|adj. square (with sb) 体育运动中可指两支队伍打平的，平局的
square|vt. [尤英] 体育运动中打成平局，使打成平局
squeak|vi. 勉强赢得…、勉强通过测试等
stake|n. [pl.] stakes 赛马中获胜者得到的奖金
standing|n. [pl.] standings可指（运动员或运动队比赛成绩的）排名、名次
succeed|vi. 1 succeed (in doing sth) 做成自己所尝试去做的事情；实现目标。如成功
success|n. 1 [U] success (in sth/in doing sth) 成功、发财、成名、更高社会地位的成功获取。是一个常规用词，极为常用
successful|adj. 1 successful (in sth/in doing sth) / successful (at sth/at doing sth) 达到目的的
sunset|adj. [只用于名词前]（某事）衰落的
sweep|n. [C] [美] 体育运动中可指两支运动队中的一支对垒另一支所赢得的一系列比赛；也可指赢得一项比赛的全部场次的事实
sweep|vt. [美] 在一系列体育比赛中击败其他所有队伍（或赢得所有场次的比赛），如囊括、包揽
swing|vt. [非正式]（有时略微不正当地）成功地获得，取得或实现…
table|n. [C] 竞赛等的排名榜，名次表或积分榜（列出了各运动队、国家或学校等的名次）
take|vi. 起作用，行得通，成功
tank|vt.＆vi. 在美式英语中可指输掉一场体育比赛，尤指故意输掉
tatters|n. [pl.] in ~（计划、心情等）千疮百孔，历经挫折，不堪一击
thrash|vt. [非正式，尤英]（在比赛或竞争中）轻易击败某人
thrashing|n. [C] [非正式]（在比赛或竞争中）大败
thrive|vi. 变得持续成功、强大、健康等，如繁荣、兴旺、发达
throw|vt. [非正式] 故意输掉（本应获胜的一场体育比赛或竞赛）
tie|n. [C] 比赛或竞赛的平局、不分胜负
tie|vt.＆vi.（两个人或两个队等）在比赛或竞赛中打成平局
tight|adj. 竞赛（或速度比赛）的赛跑选手（或团队等）之间看起来同样好的，即不相上下的，势均力敌的，旗鼓相当的等，相当于close
title|n. [C] 竞赛（尤指体育比赛）的冠军。但非作为冠军的人或动物，而是“冠军所处的位次”或“冠军头衔”，类似于championship
to|prep. 1 达到某个状态
top|vt. 因为你最成功、最重要等而居于一份榜单的最高位置
trail|vt.&vi. ~ (by/in sth)（尤用于进行时）（在比赛或竞争中）落后，失败
transcript|n. [C] [尤美] 学生成绩报告单
triumph|n. 1 [C, U] ~ (over sb/sth) 巨大的成功、重大成就、伟大胜利
triumph|vi. ~ (over sb/sth) 击败、战胜；成功
triumphant|adj. 带来极大满足感的成功，如大获全胜的、巨大成功的
trophy|n. 1 [C] 为竞赛获胜者颁发的一个物品，如银质奖杯
trump|vt. 赢、胜过、打败（别人的话或行动）
turkey|n. [C] [非正式] 一次失败
twilight|n. [U] the ~ (of sth) 没落时期、衰退期
uneven|adj. 在竞争或比赛中，一方的表现远比对方好的
unpretentious|adj. [褒]（地方、人或事物）简洁的、朴素的、不豪华的
unravel|vi.（一个系统、计划、关系等）解体、崩溃、瓦解
up|n. [sing.] [非正式；英] on the up and up 变得越来越成功，如蒸蒸日上，越来越好等
upset|n. [C]（在竞赛中）击败一个有望获胜的人或团队
vanquish|vt. [文学] 在比赛、战争、竞争中彻底击败某人
victor|n. [C] [文学] 战斗、比赛、竞争等活动中的胜利者
victorious|adj. ~ (in sth) 胜利的；获胜的
victory|n. [C, U] victory (over/against sb/sth) 在比赛、选举、战争等事件中的胜利。相对正式
vigorous|adj.（人）做事充满精力和热情的；（活动）需要投入很多精力和热情的
vigour|n. [U] 精力（包括体力和脑力）；力量；活力；热情
vintage|adj. [只用于名词前] ~ year 成绩卓著的一年、成功的一年
vital|adj.（一个人）充满精力和热情（enthusiasm）的，相当于dynamic
vitality|n. [U] 生命力；活力；热情
waste|vt. [美，非正式] 在一次游戏或比赛中把某人打得惨败
win|n. [C]（在比赛或竞赛等活动中获得的）胜利，即赢
win|vt.＆vi.（在比赛、战争、辩论等活动中）获胜。因此其宾语常是比赛、战争或其它活动、头衔等（而非某个人或群体）。是一个基础且常规的用词，极为常用
winner|n. 1 [C]（比赛或竞争中的）获胜者
wreath|n. [C] 旧时用作荣誉的象征的头戴式圆形花冠
