abuse|vt. 1 误用或滥用（即用得太多）而伤害身体健康
detain|vt. 留（在医院）
device|n. [C] 手段、方法
dial|n. 1 [C] 钟或表的盘面，或机器、设备、交通工具上的显示时间、数量、速度、温度等的盘面
diplomacy|n. [U]（处理人际关系等的）手腕，策略，手段
direct|vt. direct sth to/towards sth/sb / direct sth at/against sth/sb 把…对准某个方向或某个人，即瞄准
direct|vt. 将话语针对某人
direction|n. [U] 目标
discipline|n. [C] 训练自己身心（或行为）的方法；符合准则的行为
double|vi.（某物）兼作某项用途
drain|n. 1 [C] 下水道、污水或废水排水管
dump|n. 1 [C] 垃圾场；废料堆
dump|vt. 快速而随意地倾倒
dustbin|n. [C] [英] [美用garbage can或trash can]（常置于房外的）大垃圾桶（有盖）
edge|n. [C] 刀刃；刀剑的刃；刀口
elevator|n. [C] 谷仓、粮仓
employ|vt. 为某一目的而使用或应用、运用（如一项技能、一个方法等），为正式用法
employment|n. [U] [正式] ~ (of sth) 使用；利用
end|n. [C] 目标
epitaph|n. [C] ~ (to sb/sth) 遗留下来的、让人们想起一个人、时期或事件的某个事物，如遗物、遗存、遗迹
exercise|n. [U] exercise of sth 使用权力、权利、技能或品质来使某事发生，即行使，运用
exercise|vt. [正式] 行使权力、权利或运用个人品质以达成某事
exert|vt.（对某人或某事物）行使权力或施加影响力
exertion|n. [sing.] 权力的行使（以使某事发生）
exhaust|n. [U]（车辆、发动机或机器排出的）废气
exploit|vt. [贬] 利用一个人或一种情况为自己谋利
exploitation|n. 1 [U] 对土地、石油、矿藏等的开发、开采、利用
extend|vi. 适用于某人或某事物
facility|n. [C] 可提供额外服务的特色等（这些附加特色并非必需，只是起到锦上添花的作用），有时可翻译为“工具”
file|n. [C] 锉刀，锉
finish|vt. finish sth (off/up) 用尽（某事物的剩余部分）
fix|vt. 用枪炮、摄影机、雷达等瞄准、对准
fodder|n. [U] [贬]（常置于名词后）（人或东西）被认为只能有一种用途，即只能是…的料
footwork|n. [U] 快速而熟练地应对困境的能力
fork|n. [C] 一种园艺工具（有柄，且有三到四个金属尖），用于挖掘，即叉子
freeze|vt. 将食物冷冻储藏，即冷藏
gadget|n. [C] 做某事所用的小器具或小装置
game|n. [sing.] sb’s game 比赛或游戏时用的方法、手法或技巧
garbage|n. [U] [尤美] 废弃并扔掉的食物、纸张等，即垃圾、废物
garbage|n. [U] [尤美] 放置垃圾的一个地方或容器，即垃圾场、垃圾箱、垃圾桶
gear|n. [U]（针对某种活动的）设备，用具，衣服
goal|n. [C]（你所希望达成的）目标，尤指需要付出很多时间或努力所达成的目标
grate|n. [C] [美] 下水道盖子上的金属框架或金属栅。相当于英式英语的drain
grind|vt.（在坚硬表面上）磨锋利、磨快、磨光某事物
ground|n. [pl.] grounds 沉淀到液体底部的少量沉淀物，渣滓
guidance|n. [C] 用电子设备来控制火箭等的方向的过程，即制导、导航
gun|n. [C] 一种可以喷射物质或物体的工具
hammer|n. [C] 有一个柄和一个重重的金属头的一种工具，用于打破…或敲钉子，可称为锤子，榔头等
hardware|n. [U]（英式英语也用ironmongery）家庭及园艺用的工具或设备，如五金制品、金属器具
harness|vt. 控制且利用某种力量（如自然力或人的技能）以产生能量或为达成某事
harrow|n. [C] 耙
help|n. [U] 有用
heritage|n. [usually sing.] 国家或社会长期形成的历史、传统和特色，如（历史）遗产
high|adv. aim high可指（怀有或奔向）高的目标
hoard|n. [C] ~ (of sth) 贮存物（如钱、食物、贵重物品等）；尤指秘藏的事物（以防止别人将其找到或偷走）
hoard|vt.&vi. 贮藏；囤积；尤指秘藏
hold|vt. 保存或存贮…（使其以后可以使用）
home|n. [C] 比喻用法中可指存放某事物的地方
house|vt. 是（某物的）保管处或贮藏处
how|adv. 1 以何种方式，即怎样，如何
husband|vt. [正式] 非常节俭地使用…
ideal|n. [C] 看起来完美，并值得努力去达成的想法（或标准），即理想
implement|n. [C] 工具，器具，常指简单的户外用具
in|prep. 以某种方式
in|prep. 用于表明使用的语言、材料等
indicator|n. [C]（机器上显示速度、压力等的）指针、指示器
inheritance|n. [U, C] 文化、历史等方面的遗产
instrument|n. [C] [正式] instrument of/for sth（人达成目标所用的）手段；（促使某事发生的）人或事物
instrument|n. [C] 用于执行某项任务的工具或设备，尤指精细的或科学工作所用的仪器、器械
iron|n. [C] 通常构成复合词，指由铁或其他金属所制成的工具，即金属工具；铁器
junk|n. [U] 废旧物品
keen|adj. [常用于名词前] [文学]（刀）有锋利的刃或锐利的尖的，即锋利的、锐利的
keep|vt. 1 继续持有或保有…而不退还（或不扔掉），继续控制，即留着
kit|n. 1 [C, U] 做某事所需要的成套工具、成套设备
knife|n. [C] 用于切削或用作武器的刀。是一个基础用词
ladder|n. [C] 梯子
ladder|n. [usually sing.]（社会、组织、系统或职业生涯中晋升或降级的）阶梯，途径
lamp|n. [C] 可以产生热射线并用于医学和科学之目的的一种电气装置
leave|vt. 1 把某事留给某人（让其自己去做这件事）
leftover|n. [C] 遗留下来的一个物品、风俗或行为方式。相当于relic
legacy|n. [C]（事件或历史的）遗留问题
level|n. [C] 水平仪，相当于spirit level
level|vt. level sth (at sb) 对准或瞄准某人（尤指用枪）。暗示出枪口与目标之间直线相对，强调一种直接性和准确性。与point异曲同工
level|vt.（指责或批评）针对
line|n. [C] 做（或思考）某事时所采用的一种方法或方式
line|n. [C] 输送污水的管线
litter|n. [U] 人们在一个公共场所乱扔的垃圾（如纸张、小铝罐、瓶子等）
litter|vt.＆vi. litter (sth) (with sth) 常用被动式，乱扔垃圾
lumber|n. [U] [英] 不再使用的家具等其他大件物品
main|n. [C]（建筑物中用于排放废物、废水、污水等的）一个大型管道
manipulate|vt. 熟练地控制或使用某事物
manner|n. [sing.] [正式] 某事被执行（或某事发生）的方式，方法
manoeuvre|n. [C, U] 某人用来获得优势的一个聪明的计划、行动，如策略、手段、花招
margin|n. [usually sing.] 为确保某事成功而留出的备用的时间、空间、金钱等事物，有时可翻译为“余地”
mark|n. [C] [正式] 目标、靶子，相当于target
means|n. [C] means (of doing sth/of sth) 达成一个结果所采用的一种行动、一个物体或一个体系；达成某事或做某事所采用的一种方法、方式、途径，常翻译为“手段”
measure|n. [C] measure (to do sth)（为达到某一目的所采取的）正式行动，可称为措施。是一个常规用词，最常用
mechanic|n. [pl.] the mechanics可指（过程、系统、动作等的）运作方式；执行（过程、系统、动作等的）方法
medium|n. [C]（用于某一目的的）手段、工具、方法等。主要指表达观点或与人沟通时所采用的表现方式或交流手段
method|n. [C] method (of sth/of doing sth) / method (for sth/for doing sth) 做某事所使用的一种方法。是一个基础且常规的用词，极为常用
misuse|n. [U, C, usually sing.] 非法使用或错误地使用，即误用；滥用；盗用
mode|n. 1 [C] 做某事的一种方式、风格；某事物的一种样式
needle|n. [C] 科学仪器上用来指示量度或方向的指针
nut|n. [C]（与螺丝对应的）螺母或螺帽（其中间的孔洞有螺纹，可拧到螺丝上用于固定机器等）
object|n. [C] 目标
objective|n. [C] 企图去实现的目标
obtain|vi. [正式]（规则、制度、习俗等）存在，适用，相当于apply
occupant|n. [C]（车辆、座位、床位等的）乘坐者、占用者
on|prep. 与一些名词或形容词连用，表示…受到…的影响
on|prep. 通过某种手段，使用…
open|adj. 1 open (to sb) 只作表语，指可得到且可使用的（例如报价现成的，职位空缺的等）
orientation|n. [U, C] ~ (to/towards sth)（一个人或组织机构的）目标、发展方向；也可指定下此种目标或方向的行为
oriented|adj. 以…为目标的
outfit|n. [C]（做某事所需要的）全套装备；成套工具
outlet|n. [C] ~ (for sth)（感情、思想或精力的）发泄渠道
over|prep. 利用某事物，通过…的手段
panel|n. [C] 车辆或机械上的控制板、仪表盘
park|vt. [非正式，商] 决定把一个想法或事情留到以后的会议上讨论或处理
passport|n. [C] passport to sth 使某事成为可能（或使你能够做成某事）的途径、方法、关键、手段，相当于key
path|n. [C]（用以达成某事的）行动计划或行动路线、途径
phone|n. [sing.] –phone构成名词，指使用声音（或发出声音）的一种工具或仪器
pick|n. [C] 镐（一种工具，用于刨挖等劳动），与pickaxe同义
pitch|vt. ~ sth (at sb) / ~ sth (as sth) （使产品或服务）针对，面向某一群人，即确定销售对象或目标市场
plane|n. [C] 用来把木头表面刨平的刨子
ploy|n. [C] ~ (to do sth) 计策；计谋；手段；策略；手法
plug|n. [C] 放入墙上的孔洞中用以固定螺丝的一个小塑料管，即螺钉塞栓
point|vt. point sth (at sb/sth)瞄准。强调瞄准的精确方向性
pointer|n. [C]（测量仪器上的）指针
policy|n. [C, U] policy (on sth) 某一公司、机构等的政策、措施
practical|adj.（东西）有用的或合适的、实用的
precipitate|n. [C] [化学] 化学过程产生的沉淀物、析出物
preservation|n. 1 [U] 将某事物保持原状或保持在好的状态，如保养、保存
preservation|n. [U] 保留
preserve|vt. 1 保持或维护一种特定的品质、特征等；确保某事物处于保护之中
probe|n. [C] [术语] 科研人员所用的、可以放进某事物内部以进行测试或记录信息的一个小装置，如探测仪
purpose|n. [C] 目标
ready|adj. 便于立即使用的（或便于直接使用的）
recipe|n. [C] recipe for sth（看起来很可能产生某种结果的）一个方法或想法，如秘诀，诀窍，相当于formula
recourse|n. [U] [正式]（在困境中）对…的使用、诉诸、依赖、求助
recycle|vt. 再次使用相同的想法、方法、玩笑等
refuse|n. [U] 已被扔掉的废旧材料，即废弃物、垃圾
relic|n. [C] ~ (of/from sth)（有时有历史价值的）遗物；遗迹；遗风；遗俗
remain|vi. [正式] 当其余部分已被移除、使用等之后仍然还有，即剩余、遗留、继续存在
remains|n. 1 [pl.] 某事物的一些部分被用掉、吃掉、移除、烧掉等之后所剩下的部分，即剩余物
remnant|n. 1 [usually pl.]（其它部分被使用、移除、损坏等之后所剩下的）残余部分、剩余部分
reserve|n. [C] 常用复数，表示储备或储藏
reserve|vt. reserve sth (for sb/sth) 保留…，以使其不被其他人（或不因其它理由而被）使用
reservoir|n. [C] [正式] 某事物的大量储备（以供使用）
resort|n. [C] the first/last/final ~ 可首先（或最后）采取的手段
resort|n. [U] ~ to sth（在别无选择的情况下）对…的采用、诉诸（尤指采用或诉诸坏的手段）
resort|vi. resort to sth（常由于别无选择而）诉诸于…（尤指诉诸于坏的手段）
retain|vt. [更正式] 继续容纳某事物
retain|vt. [更正式] 继续持有或保有
road|n. [C]（实现或达成某事时所采用的）方法、途径、过程
rose|n. [C] 水管或喷壶的莲蓬式喷嘴（使水流能够以众多分散的细流喷出）
route|n. [C] ~ (to sth) 达成某事的途径、渠道
rubbish|n. [U] [尤英] 由于你不再想要或不再需要而扔掉的东西，即垃圾、废弃物
rubble|n. [U] 被毁坏的建筑物或墙壁所产生的碎石、碎砖
sabre|n. [C] 旧时骑兵用的带有弯刃的大刀，如军刀、马刀
save|vt. save sth (for sth/sb) 保留…以供将来使用或享用
scaffold|n. [C] 脚手架、鹰架（建筑工人在上面从事建筑活动，如刷油漆、修理、或垒砖等）
scaffolding|n. [U]（建造房屋所用的）脚手架
scissors|n. [pl.] 剪刀
scrap|n. [U] 不再需要的或失去原有用途的东西，这些东西还有一些回收价值，因为可从中提取一些有用的材料。如废品
scythe|n. [C] 用于割高草等的长柄大镰刀
secret|n. [sing.] 常用the secret，指实现某事的最佳方法，或某人用以达成某事的方法，即秘诀，诀窍
sediment|n. [U] 液体底部的固体沉淀物
serve|vi. serve (as sth) 可用作某一用途（尤指别无选择时）
settlings|n. [U] 液体底部的固体沉淀物
sewage|n. [U] 下水道的污水或污物
sharp|adj.（边缘或尖端）锋利的，尤指可用于切削或扎出洞
sharpen|vt.＆vi. 变得锋利；使…变得锋利
sharpener|n. [C] 通常构成复合词，使某事物变得锋利或尖利的一个工具或机器
shop|n. [C] 北美英语中可指工具储藏室
sickle|n. [C] 割草、收割庄稼等所用的镰刀（柄短，刃弯且长）
sight|n. [pl.] sights 可指你的目标
skip|n. [C] [英]（盛放大体积废弃物、如砖块、垃圾等的开放式）废料桶（该废料桶可装上卡车然后拉走）
spade|n. [C] 一种园子工具，有一个宽的金属刃和一个长长的柄，用于挖掘，可称为锹或铲子
spare|vt. spare sth/sb (for sb/sth) / spare (sb) sth 抽出；拨出；匀出；留出（金钱、房间、心思等）；剩下（未使用的或不需要的金钱、空间等）
splinter|n. [C]（木头、金属、玻璃等的）带尖的小碎片。相当于shard
spoil|n. [U] [术语]（开掘等时挖出的）弃土，废石方
step|n. [C] 为达成某事所做的一系列事情中的一个，即步骤，措施
step|n. [pl.] steps [英] 可表示一个四脚折梯，即有四个脚，打开之后形成一个斜坡，故本身可以站立在地面的梯子，不用的时候可折叠起来
stiletto|n. [C] 带有尖刃的小刀，如匕首、短剑
stock|n. [C, U] ~ (of sth) 供使用的供给物、储备物
stock|vt. ~ sth (with sth) 用食物、书籍等填充某事物，即贮备、贮存
stockpile|n. [C] 大量囤聚的某事物（以供未来必要时使用）
stockpile|vt. 大量储备某事物
storage|n. [U] 把某事物储存在一地（待需要的时候再取出）的过程，即贮存；也可指贮存某事物的空间
store|n. 1 [C] 储存物或备用物
store|vt. 1 store sth (away/up) 把…储藏在某处以供将来使用
storehouse|n. 1 [C] 存储事物的一个地方，即仓库
storeroom|n. [C] 贮藏室
strategy|n. 1 [C] ~ (for doing sth) / ~ (to do sth) 为达到某一目的所制定的行动计划（尤指长期的行动计划），即策略、战略
stretch|vt. 充分发挥某人的全部技能、才智等
style|n. [C, U] style (of sth) 做事的方式，作风
survive|vt.＆vi.（事物在危险的情况下）遗留下来
sword|n. [C] 作为武器的剑，刀
tack|n. [U, sing.]（处理某个问题所用的）方法；（言语或思考的）思路、方向
tactic|n. 1 [C, usually pl.]（为达成某事所用的）战术、策略、手段、招数
take|vt. 1 采取行动或措施（以应对某一问题或达到某一目标）。是一个简单用词，但很常用
take|vt.（机器等）使用…而运转（或工作）
tap|vt.＆vi. tap (into) sth 利用（已存在的能源、知识等）
target|n. 1 [C] 你所试图去达成的目标
target|n. [C] 射击或射箭用的靶子（尤指带有一些圆环的圆板）
target|vt. 1 常用被动式，把某人或某事物作为批评的目标
target|vt. 常用被动式，把某人或某事物作为攻击的目标。此时target仅作及物动词，且常用被动式
thread|n. [C] 螺丝的螺纹
through|prep. 通过…手段，凭借
tip|n. [C] 英国可指可以放垃圾的地方，即垃圾场或垃圾堆
tip|vt.＆vi. 英国英语可指在户外倒垃圾
to|prep. 表示行为或感情所针对的目标
tool|n. 1 [C]（握在手里用于制作或修理…的）工具（如锤子、螺丝刀、锯等）
tool|n. [C] 能帮助你做工作（或完成某事）的一个手段，方法等
torch|n. [C] 喷灯（如用于切割或焊接金属），相当于blowlamp
touch|n. [sing.]（做事的）作风；风格；手法
touch|vt. 通常用于否定句，指使用
trash|n. [U] [美] 因为不再想要或需要而扔掉的东西，即废物、垃圾
trick|n. [usually sing.] 做事的好方法、技巧或窍门
turn|vt.＆vi. 把武器指向或瞄准（某个方向）。暗示出原先对准的是别的方向，某种动因促使其调转方向
usage|n. 1 [U]（词语的）使用
use|n. 1 [U, sing.] 用、使用、利用；被利用的状态
use|vt. 1 use sth (for sth/for doing sth) / use sth (as sth)（为某一目的而）使用、利用、运用（一部机器、一种方法、一个物体等去做某事）
usefulness|n. [U] 有用；实用；可用性
user|n. [C] 使用某事物的一个人或一个事物，即使用者、用户
utensil|n. [C] 家用的（如做饭、干其它活儿用的）工具、器具
utility|adj. 多用途的；多功能的
utility|n. [U] [正式] 实用；有用
utilize|vt. ~ sth (as sth) 为正式用法，尤指为一个实际的用途而使用、利用、运用某事物
vehicle|n. [C] vehicle (for sth) 表达思想、感情、或达成某事所使用的媒介，即手段，工具
versatile|adj. [褒]（工具、机器、材料、食物、建筑等）有很多不同用途的
vestige|n. [C] [正式] 残留的少部分
via|prep. 凭借或通过某种手段（如通过一个人、系统等）
waste|n. [U] 也可用复数的wastes，不再被需要并被扔掉的材料，即废料、废弃物、垃圾
way|n. 1 [C] way (to do sth) / way (of doing sth) 做某事所用的方法、方式、手段、途径
weapon|n. [C] 可被用作攻击或斗争的知识、言语、行动等，可看作比喻意义上的武器
widget|n. [C] [非正式]（不知道名字或不知其原理的）小装置、小器物、小玩意儿
wield|vt. 拥有并运用权力、权威、影响力等，如行使
window|n. [sing.] window on/into sth（了解信息的）途径、渠道或窗口
with|prep. 1 用，凭借，以
withhold|vt. [正式] ~ sth (from sb/sth) 拒绝把…给某人
working|adj. [只用于名词前]（某人关于某事的知识）刚好够用的、尚可应付工作的
wrench|n. [C] [尤美] [英式尤用spanner] 金属扳手
