abandon|vt. 停止做某事（尤指在其结束之前），即中止；也可指停止拥有某事物，即不再拥有
drown|vt. ~ sth (in sth) 作为比喻用法，可指被大量事物“淹没”
early|adj. 1（一段时间、一次事件等）早期的，初期的，接近于起始点的
early|adv. 1 在（一段时间、一次事件、一份工作等的）早期（或初期、开始阶段）
ebb|vi. ~ (away) 逐渐凋零
ebb|vi. ~ (away) 逐渐减轻或消失
efface|vt. [正式] 消除、抹去、擦掉、移除
elaborate|vt. 详细制定（计划、想法、理论等）
elaborate|vt. 进一步完善（计划、想法、理论等）
elbow|vt.&vi. 挤掉……（以获得成功）
eliminate|vt. ~ sth/sb (from sth) 移除、清除、排除某人或某事物（尤指不需要之物）
embark|vi. embark on/upon sth 从事，着手，开始（新的或艰难的事情）
embryo|n. [C]（想法、体系或机构等的）萌芽阶段、初期
emerge|vi. ~ (from sth) 从黑暗处或隐蔽处出现
emerge|vi. ~ (from sth)（从困境或不好的经历中）摆脱出来
emergence|n. [U]（某个过程或事件的）出现、兴起
encourage|vt.＆vi. encourage sth (in sb/sth) 使某事发生或发展的可能性变得更大，即促进，助长，刺激
encumber|vt. [常用被动式] ~ sb/sth (with sth) [正式] 使某人做某事（或某事发生）的过程变得困难，即妨碍、阻碍、拖累
end|n. 1 [sing.]（一段时间、一次事件、一次活动或一个故事的）最后部分，如结局，结尾。是一个基础用词，含义极广，也极常用
end|n. [usually sing.] 一个人的死亡，为death的委婉用语
end|vt.＆vi. end (sth) (with sth) 结束；使某事结束
ending|n. 1 [sing.]（故事、电影、比赛等的）结尾、结局
engage|vi. ~ (with sth/sb) to become involved with and try to understand sth/sb 与某事物或某人建立密切关系并尽力理解
enhance|vt. 加强、提高、增进（某人或某事物的好的品质、价值或地位）
ensue|vi. [正式]（在某事之后）接着发生，或作为某事的结果而发生
enter|vt. 1 无被动式，开始在某一专业组织中工作（即开始从事）
entrance|n. [C, usually sing.] entrance (of sb) 进入一个房间、一个地方，尤指以吸引其他人注意力的方式进入，即登场；也可指莅临
epitaph|n. [C] 纪念死者的文字，如悼文、祭文，（尤指）墓志铭、碑文
equip|vt. 为某人或某事物提供其所需的工具或装备，即配备
equipment|n. [C] 对一个地方或人所进行的装备、配备
eradicate|vt. ~ sth (from sth) 彻底根除…（尤指根除坏事物）
erase|vt. ~ sth (from sth) 彻底清除某事物（如想法或感受）
erect|vt. [正式] 创建机构；建立体制；创立理论
erect|vt. [正式] 建造建筑物；搭建帐篷
erupt|vi. erupt (into sth) 突然且剧烈地开始发生，即爆发（新闻通讯中可指某地爆发暴力活动或骚乱），相当于break out
eruption|n. [C, U]（事件，尤指暴力事件的）爆发
essay|n. [C] [正式] essay (in sth)（关于做某事的）企图，尝试
essay|vt. [文学] 企图或尝试（做某事）
establish|vt. 建立、创建（一个组织机构、一种制度等）
establishment|n. [U]（组织机构、国家、关系、市场、体系、节日等的）建立、创立、设立
euthanasia|n. [U] 安乐死
evanescent|adj. [文学] 从眼前、记忆中或存在状态很快消失的
evaporate|vi. 消失，尤指通过逐渐变少而消失（如情绪逐渐消失、计划逐渐落空、活动逐渐停止）
eventually|adv. 在一段时间或一系列事件的最后（或最终）
evil|adj. 恶魔的；受魔鬼影响的；罪恶的；不详的
evolve|vt.&vi. ~ (sth) (from sth) (into sth)（使）逐渐形成，逐步发展，逐渐演变，尤指从简单形式逐渐演变到复杂形式
excise|vt. ~ sth (from sth) [正式] 彻底清除某事物
exclude|vt. ~ sth (from sth)（做某事或考虑某事时）故意将…排除在外
exclusion|n. 1 [U] ~ (of sb/sth) (from sth) 将某人或某事物排除在一个群体之外
exclusive|adj. 1 为个人或群体所专用的、专有的、独占的
excursion|n. [C] [正式] ~ into sth 对新事物或不同活动的短期涉猎（或涉足）
exhaust|vt. 用尽、花光、耗尽
exhausted|adj. 完全被用完的、枯竭的、被耗尽的
exhaustion|n. [U] [正式] 被耗尽、用尽或枯竭的状态
expenditure|n. [U, C]（精力、时间、材料等的）耗费、消耗
experiment|n. 1 [C, U] 科学实验或试验
experiment|vi. 1 experiment (on sb/sth) / experiment (with sth) 做实验或试验
expire|vi. [文学] 去世
expire|vi.（文件、协议等）因到期而失效、终止
explode|vi. explode (into/with sth) 指形势突然变得非常危险
explosion|n. [C]（政治抗议、暴力等的）爆发
explosive|adj. 可能引起暴力或愤怒、仇恨等强烈情感的，即（局面等）一触即发的，千钧一发的
expunge|vt. ~ sth (from sth) [正式] 除去某事物，例如从清单上或头脑中抹去、删去一个名字、一段信息或一段记忆
extend|vt. [常用被动式] 使某事物竭尽全力
extension|n. [U, C] 深入论证；情况的延续
extinct|adj.（某种类型的人、工作或生活方式）不复存在的、消亡的
extinction|n. [U]（生活方式、某类活动等的）消亡、消失、不复存在
extricate|vt. ~ sb/sth/yourself (from sth) [正式] 从艰难的处境中摆脱出来，或使某人从艰难的处境中摆脱出来
facilitate|vt. [正式] 使一个活动或过程（尤指你想发生的事）有可能发生，或使其变得更容易。即促进、促使；使便利
fall|vi. 1 [文学] fall (on sb/sth)（快速且突然地）来到或出现
fall|vi. [文学]（在战斗中）阵亡；被击毙
far|adv. 用于谈论某事的进展程度
father|n. [C] father (of sth) 创始人，鼻祖，先驱，奠基者等
father|vt. 创造新的思想（或新的做事方式）
fatigue|n. [U]（金属或木材由于重复弯曲或拉伸所导致的）疲劳
fertile|adj. [常用于名词前]（人的思想或想象力）能产生很多新想法的
filibuster|vt. 以冗长演说（或长篇大论）进行阻挠（使表决不能进行，或法案不能通过）
filter|vt. 过滤掉液体、气体、光线等
final|adj. 1 只用于名词前，在（或发生于）一系列事件、行动、陈述等的结尾的，即最终的，最后的
finale|n. [C] ~ (to sth) 置于形容词后，指某事的结尾
finish|n. 1 [C, usually sing.] 某事物的最后部分或结尾、结局
finish|vt.＆vi. 1 因为已完成而停止做某事（或停止制作某东西），即完成，做好
flash|n. 1 [C] flash of sth（明亮的东西）出现时间很短，即闪现
flow|n. [C, usually sing., U] flow (of sth) 某个过程的持续演进
flow|vi.（进程）以一种轻松自然的方式发展
flush|n. [sing.] 突然快速的增多，如大量涌现出
foil|vt. [常用被动式] 阻止某事（尤指犯法的事）发生；阻止某人做某事
forbid|vt. [正式] 使做某事具有困难（或使其不具有可能性），即阻碍、妨碍、阻止，相当于prohibit
forerunner|n. [C] ~ (of sb/sth) 作为先驱或的一个人或事物
forge|vi. [正式] 稳步而有力地前进、发展
forge|vt. 艰苦干成某事、努力加强某事（使此事持续长久）。如建立、开创
form|vt.＆vi. 1（尤指自然事物）开始存在并逐渐发展成某种形状；使…开始存在并逐渐发展成某种形状
form|vt.＆vi. 建立一个组织（如委员会、公司等），或在此组织内集合（或团结在一起）。与found有时可互换
formality|n. 1 [C, usually pl.]（法律或社交场合的）正式手续
formation|n. 1 [U]（想法、习惯、关系、性格、事物等的）形成
formation|n. [U]（组织机构等的）创建、设立
formulate|vt. 准备
formulate|vt. 制订
fortified|adj. 加强的
fortify|vt. ~ sb/yourself (against sb/sth) 使某人感觉更强、更勇敢等
forward|adv. 更早地；更快地
forward|adv. 朝向一个好的结果，即进展
forward|vt. [正式] 有助于提高或发展某事，即促进。相当于further
foster|vt. 促进某事的发展
found|vt. 1（尤指通过提供资金来）创建或创办（例如创建一个组织或机构），相当于establish
foundation|n. [U]（机构或组织的）创建，创办
founder|n. [C]（组织、机构等的）创建者，创办者，发起人
fracture|n. 1 [C] 骨头或其它硬物的破裂状态，尤指骨折
fracture|vt.&vi.（使）断裂、破裂
fray|vt.&vi.（使）织物磨损（其内部的线会散开）
freeze|n. [usually sing.] freeze (on sth) 停止某事
from|prep. 1 起始于某地
from|prep. 表示被分离或被去除
fulfil|vt. 完成（被要求做的事或必要的事）
fulfilment|n. [U] 完成
funeral|n. [C] 埋葬或火化一个人的尸体的一种仪式，即葬礼（尤指宗教葬礼）
further|vt. 促进某事的发展或成功
gag|n. [C] 将某人的嘴封住或堵住的一块布
gag|vt. 用布封住或堵住某人的嘴（以防止其说话或喊叫）
game|adj. game (for sth/to do sth) 准备或愿意去做（新的、困难的或危险的）事，即敢尝试的，或愿意尝试的
gear|vt. gear sth to/towards sth [常用被动式] 使为…而准备；使为了达到…而作好准备
generate|vt. 产生、创造某事物
generation|n. [U] …的产生（尤指电、热等的产生）
generator|n. [C] 促使…发生的人（或事物）
germ|n. [sing.] ~ of sth 某事发展过程中的早期阶段
get|vt. 1 开始有（一个想法、印象或感受）
get|vt. [非正式] 无被动式，用于表明某事发生或存在
get|vt. get sth done 使某事完成
get|vt.＆vi. 取得进展
ghost|n. [C] 人们认为能看到或感觉到的（死人的）鬼魂、鬼、幽灵
go|n. [C] [英] [英，美也用try]（做某事的）尝试，一番努力
go|vi. sb/sth must/has to/can go 用于谈论想要清除某人或某事物
go|vi. 不复存在；消失
go|vi. 开始（一项活动）
go|vi. 有助于；在做某事的过程中起作用，如促成。是一个简单用词
go|vi. 死亡的委婉说法，如走
go|vi. 用于谈论事情进展得好坏（或其进展好坏的程度）。是一个简单用词
grace|n. [U] 给某人的付款、完成工作等所设定的宽限期、延缓期
gradually|adv. 在一段长时间内慢慢地，即逐渐地，渐渐地，逐步地，渐进地
graduate|vi. graduate (from sth) to sth（从做不太困难或重要的事）逐渐过渡到（做更困难或更重要的事），尤指升迁到一个更重要的职位上
grave|n. [C] 坟墓、墓穴、坟头
grave|n. [sing.]（常用the grave）[常为文学用法] 死亡、人的去世
groundwork|n. [U] ~ (for sth)（为之后的工作打基础的）准备工作
guzzle|vt.&vi.（车辆等）大量消耗燃料
hail|vi. [正式] ~ from（人或事物）来自某地、出生于某地
halt|n. [sing.] 停止；暂停；阻止
halt|vt.&vi.（使）停止、停下
hamper|vt. [常用被动式] 妨碍、阻止某人容易地做或达成某事（即使此人做事的过程变得困难）
hamstring|vt. [常用被动式] 阻止或妨碍某人或某事物，使其不能正常工作（或行动）
handicap|n. [C]（使某人的做事过程变得艰难的）障碍、阻碍
handicap|vt. [常用被动式] 使某人的做事过程更艰难，即妨碍、阻碍
happen|vi. 1 发生，尤指未经计划而发生，即偶然发生。是一个常规用词，最为常用
harden|vt.&vi.（使）某事物变硬
have|auxiliary verb. 与过去分词连用，构成完成时
have|vt. 1 生，生出，生产（人或事物）
hedge|n. 1 [C] 栽种在一起的一排灌木或小树，常在田地、园子或道路的边缘，即树篱
hedge|n. [C] ~ against sth 一种防止金钱损失的手段
hedge|vi. ~ against sth 防备或防范坏事，尤指防范金钱的损失
heir|n. 1 [C] ~ (to sth) / ~ (of sb) 某人财产的合法继承人
help|vt.＆vi. 改善一种状况；使某事更容易发生，即促进，促使
hereafter|adv. [正式] 死后
hiatus|n. [sing.] [正式] 活动中的间断、中断
hinder|vt. ~ sb/sth (from sth/from doing sth) 使某人做某事（或某事发生）的过程变得困难，即阻碍、妨碍
hindrance|n. 1 [C, usually sing.] ~ (to sth/sb)（对某人去做某事，或对某事的发生）造成妨碍的人（或事物）
