about|adv. [尤英] 没有一定的秩序；在各个地方。如凌乱地、四处、到处
method|n. [U] 计划（并组织）得很好的一种品质，即有条不紊、条理
model|n. [C] 某种设计；或一个产品的某个类型
muddle|n. 1 [C, usually sing., U] [尤英] ~ (about/over sth) 局面一团糟、把一些事情做错的一种状态
muddle|vt. [尤英] ~ sth (up) 把某事物的秩序弄乱或将其搅混
nature|n. [sing.] 种类、类型
near|adj. 随着…而来（在顺序上紧跟着…）
neat|adj. 1 整洁有序的；仔细执行或排列的
next|adj. 1 只用于名词前，通常与the连用，（在时间、空间或顺序上）下一个的、紧接着的（且此两者之间没有其他同类存在）
number|n. 1 [C]（缩写为No，符号为＃）用于一个数字前以表明其在一系列…中的位置，即编号；序号；（排名）第…号
number|vt.＆vi.（在一系列…中或清单中）给…标上序号或编号
odd|adj. [只用于名词前]（无比较级和最高级）没有特定类型或尺寸的、各种各样的
order|n. 1 [U, C] 顺序，次序
order|vt. 正式用法，指组织、安排、整理
orderly|adj. 1（布置或排列）整洁的、井然有序的
organized|adj. 1 [只用于名词前] 一大群人一起按照计划来分工协作做事的，即有组织的
performance|n. [sing.] [尤英，非正式] 让人付出很多努力（或给人造成很多麻烦）的行为，即忙乱、麻烦（有时并不必要）
place|vt. 经过与其他…相比较而把…归类，划归
precede|vt.&vi.（顺序）先于
procession|n. 1 [C, U]（尤指作为仪式的一部分的人员或车辆的）行列 、队列；也可指此种行进
queue|n. [C] [英] [美用line] 等待某事物或等待去做某事的（人、汽车等的）一个队列
queue|vi. [英] queue (up) (for sth) 在人、交通工具等的队列中等候（去做某事、去得到某东西、去某地）
range|vt. [正式]（将人或事物按一定位置或顺序）排列，排序
rank|n. [C] 一行或一排人或事物
rank|vt. 将人或事物排成行列，常用被动式
reference|n. [C]（为方便信息查询所用的）数字、文字或符号，可叫做标记，标识或编号（缩写为ref.）
regular|adj. 规则的，尤指有相同的时间间隔或空间间隔的。是一个基础和常规用词
regularity|n. 1 [U]（某事的发生）在时间上的规律性（即该事件一次又一次发生，且每次发生的时间间隔相同）
riot|n. [sing.] [正式] ~ of sth 很多种类的某东西的大杂烩
round|adv. [尤英；美常用around] 依次；挨个
row|n. 1 [C] row (of sb/sth) 排成一条线的人或物体，即一排、一行、一列。是一个常规用词
second|det., ordinal number 1（在一系列相似的事件或人中）以第二的顺序发生或到来的
sequel|n. [C] ~ (to sth)（书、电影、戏剧等的）续篇、续集
sequence|n. 1 [C, U]（事件、行动的）顺序、次序
sequence|vt. [术语] 按顺序排列
shade|n. [C, usually pl.] shade of sth（观点、感情等的）一个不同的种类
shuffle|vt. 把纸张或其它事物移动到别的位置，或将其顺序打乱
skip|vt. 不做（通常做或应该做的事）
sort|n. [C] 在某个方面相似的一群（或一种）人或事物，如种类、类别，相当于kind。但kind还可以是不可数名词
sort|vt. sort sth (into sth) 将一些事物（根据其类型等）分配到不同的组里；将一些事物（根据其类型等）按照某种秩序排列；从其他一些事物中分离出某种类型的事物
space|vt. 以一定间隔（空间间隔或时间间隔）排列
span|adj. [名词前不常用] spick and span（也可用spic and span）指整洁干净的
spread|n. [C, usually sing.]（人或事物的）多样，广泛
stamp|n. [sing.] [正式]（尤指人的）种类、类型
stereotype|vt. [常用被动式] ~ sb (as sth) 对…形成模式化（或类型化）的看法
straight|adj. [尤英] 常作表语，指干净整洁；整齐；井井有条
strain|n. [C] 动植物的某个特定种类、品种，或由细菌等引起的疾病的某个类型
string|n. 1 [C] 排列成一条线的一些地方或物体
stripe|n. [C] [尤美] 类型、种类
structure|vt. ~ sth (around sth) 精心组织
systematic|adj. 根据一个体系或计划，以一种彻底、有效率或坚决的方式被执行的，即系统性的，系统的，有条理的，有计划有步骤的等
tangle|n. [C] 混乱
tangle|vi.（思想、局势变得）纷乱、混乱
through|prep. 逐个浏览或逐个处理
tidy|adj. 1 [尤英] 布置（或安排）得井井有条的，井然有序的
tidy|vt.＆vi. tidy (sth) (up) [尤英] 通过把东西置于原有的位置而使其看上去整洁或整齐的，如整理
trim|adj. 整齐的、井然有序的
tumult|n. [U, C, usually sing.] [正式]（通常指一大群人的）一种伴随这喧闹和激动的混乱状态，可称为喧哗、混乱
turmoil|n. 1 [U, sing.] 一种混乱、无序、不确定或巨大焦虑的状态
type|n. [C] 具有共同特征的一群人或一组事物（且隶属于一个更大的群组），即种类，类型。相对正式
type|vt. [术语] 找出某人或事物所属的群体或类型
under|prep. 在一本书、一份清单等中的某一部分发现
uneven|adj. 形式不规律的，没有规则的尺寸或形状的
untidy|adj. 1（地方）不整洁的
varied|adj. [常褒] 各种各样的
variety|n. 1 [sing.] variety (of sth) 同一事物的若干不同种类
variety|n. [U]（存在的）多样化；（行为、过程的）多变性。相当于diversity
various|adj. 1 若干不同的、各种各样的，相当于diverse
whirl|n. [sing.] 接连不断的活动；纷至沓来的事件
whirlwind|n. [C] 一片忙乱、一连串的突发事件
wide|adj.（数量或种类）多的
wild|adj. 未仔细筹划的；不准确的
