about|prep. 用于强调某事的方面
open|adj. 1 比赛等对大众开放的，公开的，人人可参加的，相当于public
open|adj.（结构或物体）无遮盖的，无包裹物的
openness|n. [U] 空间上未被遮盖
ostentatious|adj. 1 [贬]（人）炫耀的、卖弄的
out|adj.（关于某事的消息或信息）被公开的
outline|n. [C] 轮廓线；或（不展示细节的）略图
outline|vt. 常用被动式，显示（或映衬出）…的轮廓
outstanding|adj. 常用于名词前，非常明显的；或非常重要的。如突出的，相当于prominent
outward|adj. 只用于名词前，看起来的，表面的，外表的，而非实际上的
overt|adj. [正式] [常用于名词前]（行动或态度）公开的、非秘密的
package|vt. package sb/sth (as sth) 以某种方式来呈现…，即把…包装成…
palpable|adj. 很容易被头脑或意识察觉到的
parade|vt. 在公共场合展览、展示（某人或某事物）
parade|vt. 炫耀、展示（情感、品质、成就等）
password|n. [C] 进入某地所需要的暗号、暗语
patent|adj. 正式用法，强调某件坏事是很清楚明显的，赤裸裸的
peek|vi. ~ out/over/through, etc. 可以刚刚被看到，如微微露出、探出
peep|vi.（从隐蔽处）隐现、微微露出
penetrate|vt. 洞察、发现或揭示（难以理解的或隐藏的…）
perceptible|adj. 1 [正式] 明显得可觉察得到的、看得出的
perspective|n. [C] ~ (on sth) 对某事的某种态度，思考…的一个方法，可称为视角、观点。尤指受到自己的信仰和经历影响而产生的看待问题的视角
phenomenon|n. [C] phenomenons 在美国可指令人印象非常深刻的一个人或事物
picture|vt. 常用被动式，指将…显示在照片或图片上，用照片或图片来显示
plain|adj. 易于看到的、易于理解的，如清楚的、明显的、浅显的，相当于clear
plot|vt. 用图表或计划来展示…的发展方式（或暗示其发展方向）
point|n. [C]（某个事物、事件或人的）某个细节、方面、事实、品质、特征
portray|vt. 在一幅画中展示某人或某事物；在一篇文章中描述某人或某事物。如描绘或描写
portrayal|n. 1 [C] 在画作或图片中刻画或展示
present|vt. present sth / present sth/sb/yourself as sth（以某种方式）显示，展现，表现等
presentation|n. 1 [U] 将某事物展示给某人
privacy|n. 1 [U] 隐私；私密
private|adj. 1 常作前置定语，指专门为某个人（或群体）所拥有或使用的，而非公用的，即私有的，私用的，不对外开放的
privileged|adj. [法律]（信息）经法律特许保密的（只有少数人知道的，不对公众公开的）
produce|vt. 1 给出证据、论点等
profile|n. 1 [C] 一个人脸部的侧面轮廓
profile|n. [C] 公众对某人或某事物的印象，或某人或某事物在公众眼中的形象
project|vt. project (yourself) 把某人（如自己）或某事物以某种方式呈现给他人，尤指给人良好印象，即表现
projection|n. [C, U]（思想感情的）体现，形象化
prominent|adj.（某事物）容易被看到的，如显眼的、显著的
pronounced|adj. 非常明显的、极其显著的、表达明确的
prove|linking verb.（在一段时间后）发现（或被发现）是，相当于turn out
public|adj. 1 为公众所知晓的，即公开的
read|vi. 某事物（例如标牌）上面写着…
reflect|vi. 使人对…产生好或坏的印象
release|vt. 展示能力
relief|n. 1 [U] 光和色彩等产生的醒目效果，使物体与周围事物相比更明显
represent|vt. 1 represent sb/sth (as sb/sth)（尤指在图画、图片或图表中）展示某人或某事物，还可称为描绘，相当于depict
representation|n. [U, C] 对某人（或某事物）的表现、描述、刻画；表现形式
resolve|vt.&vi. [正式]（使）某事物分解为更清晰的形式（其形状或各构成部分将变得清晰）
respect|n. [C] 事物的某个方面（或细节）
reveal|vt. ~ sth (to sb) 使某事为人所知
revealing|adj. 揭露以前不知道的信息的，如透露内情的
revelation|n. 1 [C] ~ (about/concerning sth) / ~ (that…) 被曝光的（尤指秘密的或令人震惊的）真相
say|vt.＆vi. 无被动语态，（书面材料或可见的东西）提供某信息或某指示
secluded|adj. 1（地方）清净的，不受其他人打扰的
seclusion|n. [U] 隐居、与世隔绝、清静（不与外人联系）
secrecy|n. [U] 保密；秘密
secret|adj. 1 secret (from sb) 只有几个人知道，而对其他人保密的
secret|n. 1 [C] 只有少数人知道，而未被告诉给其他人的事物或事情，即秘密，机密
seem|linking verb. 1 seem (to sb) (to be) sth / seem like sth 给予是（或做）…的印象，即似乎，好像，看起来，相当于appear
self-evident|adj. 显而易见的、不需要任何进一步的证据或解释的
semblance|n. [sing., U] [正式] ~ of sth 某事物看起来存在（而实际上未必存在），如表象、外观
sharp|adj. 常作前置定语，指差异、图像或声音等清晰可辨的、清楚明确的、鲜明的
sharpen|vt. 使问题在人们之间变得尖锐和明朗化
show|n. 1 [C, U] 展览或展览会。是一个普通用词，使用范围最广，各种大大小小正式非正式的展览会都可以用show来表示
show|vt. 1 show sth (to sb) / show (sb) sth 让某人看，即出示，展示
side|n. [C] 事物的某个方面（尤指情况或某人性格的一个方面）
significant|adj. 显著的
silhouette|n. [C, U]（浅色或强光背景衬托出的）人或物体的暗色轮廓
silhouette|vt. [常用被动式] ~ sb/sth (against sth) 使某事物呈现暗色轮廓
silhouetted|adj. 显出轮廓的；显出影像的
skyline|n. [C]（建筑物、树、山等在天空映衬下的）轮廓线
sneak|adj. [只用于名词前] 没有任何警告而突然完成的，如出其不意的
sneak|vt. 偷偷地做某事，偷偷地把…带走（通常没得到许可）
speak|vi. sth speak for itself 可指（自己）会说话；（本身）能说明问题
stealthy|adj. 安静或秘密地做某事或完成某事的，即偷偷摸摸的、不声张的、秘密做某事的
straight|adj. 只作前置定语，（选择）简单明了的；非此即彼的
strand|n. [C]（观点、计划、故事、理论等的）部分，方面
strange|adj. strange (to sb)（由于以前没在那里或没见到某人而）感到陌生的，不熟悉的。是此义的常规用词
stranger|n. [C] stranger (to sb) 你所不知道的一个人，即陌生人
strike|vt. strike sb (as sth) 给某人以某种印象，或让某人觉得
striking|adj. 足够有趣且不寻常，因而能够吸引注意力的，如显著的
surface|n. [sing.]（人、事物的）外表；外观；表面。不太常用
surreptitious|adj. 秘密或快速完成的（以期不被别人发现）
tell|vt.（文章、标记等）提供关于…的信息，即说明，显示
tender|vt. [正式] ~ sth (to sb) 将某事物正式提供给某人，如出示
trace|vt.（用手指或脚尖等在表面上）绘出、勾勒出某事物的外形或轮廓
transparent|adj.（借口、谎言等）易于识破的、易看穿的，相当于obvious
tribute|n. [sing.] ~ to sth/sb（良好效果或影响的）体现，显示
twilight|adj. [只用于名词前] [正式]（状态）奇妙神秘的、虚幻神秘的
uncover|vt. 揭开覆盖物
underscore|vt. [尤美] 强调、突出、凸显
unearth|vt. 艰难地揭露关于某件坏事的事实或证据（通常因其被保密或被谎言所掩盖）
unfamiliar|adj. 1 ~ (to sb) 陌生的；不熟悉的；不认识的
unfold|vt.&vi.（使）（一种情况）逐渐为别人所知或逐渐为人所理解，可称为逐渐显露
unheard|adj.（口头言论或乐曲等）不为人知的、前所未闻的
unknown|adj. ~ (to sb) 未被知晓的；未被确认的
unknown|n. [sing.] the unknown可指未知的地方或事物
unmistakable|adj. 清楚明白的
unused|adj. 不习惯的、不熟悉的
unveil|vt. 在公共场合为画作、雕像等揭幕（使其初次呈现于公众面前）
viewpoint|n. [C]（观看某事物的）角度
visibility|n. 1 [U]（尤指受到光线或天气影响的）能见度
visible|adj. 容易被看见的
visible|adj. 明显的，能被注意到的
way|n. [C] 方面，与respect同义
withhold|vt. [正式] ~ sth (from sb/sth) 拒绝透露
writ|vi. [文学] ~ large 容易看见或理解的，即显而易见的
