abashed|adj. [不用于名词前] 为自己的所作所为感到尴尬而羞愧的
conducive|adj. ~ to sth 使某事容易（或有可能）发生的。如有助（于…）的；有益（于…）的
confusion|n. [U]（不理解某事或不确定在某种情况中该如何去做时的一种）困窘、尴尬、局促不安
convenience|n. [C] 有用，且能使做事更方便、更快捷或更舒适的事物
convenience|n. [U]（对某人来说）有用，便利，适宜或适合
convenient|adj. 1 convenient (for sb/sth)（事情做起来）有用的，方便或快捷的；不造成麻烦的
cool|adj. 1 [非正式] 因某事物时尚、有魅力或与众不同而表示赞许的
corner|n. [usually sing.] 一种困难的处境，即困境。是一种形象化用法
corner|vt. 常用被动式，使人或动物落入到一种无法逃脱的地方或处境
corrosive|adj. [正式] 逐渐损害某事物的
corrupt|vt. 改变某事物的最初形式，以将其破坏或损坏，常用被动式
costly|adj. 造成一些问题的；造成某事物的损失的
cream|n. [sing.] the cream of sth 某一群体中最佳的一些人或事物，即精华，精英，精髓
crunch|n. [sing.] [非正式] the crunch可指重要且通常令人不悦的一种形势、情况或一则信息。如困境；症结
crux|n. [sing.] the ~ (of sth) 一个问题（或辩论）的最重要或最难的部分，如关键；症结
cryptic|adj. 含义隐晦的，晦涩难懂的
cunning|adj.（事物）灵巧的、巧妙的
damaging|adj. ~ (to sb/sth) 造成破坏的；破坏性的；有害的；损害的
decent|adj. 在标准或品质上很好的、不错的
deep|adj. 难以理解的，深奥的
defect|n. [C] 某事物的缺点、缺陷
defective|adj. 有缺点的、有缺陷的
deficiency|n. [C] 某人或某事物的缺点、缺陷
deficient|adj. [正式] 不够好的，如有缺点的、有缺陷的
degenerate|vi. ~ (into sth) 变得更糟，如恶化
delicacy|n. [U] 棘手且某人极易被冒犯的一种情况
demanding|adj.（一件工作）需要很多技能、耐心、努力等的，即要求高的
deserving|adj. [正式] ~ (of sth) 值得（得到帮助、赞扬、回报等）的
destructive|adj. 引起破坏（或毁灭）的，如破坏性的；毁灭性的
deteriorate|vi. ~ (into sth) 变得更糟，如恶化
deterioration|n. [U, C] 恶化
detrimental|adj. ~ (to sb/sth) 有害的；不利的
difficult|adj. 1 difficult (for sb) (to do sth) 不容易的，困难的；需要努力或技能去做（或去理解）的。是一个常规用词
difficulty|n. 1 [C, usually pl., U] 一个问题；造成麻烦的一件事情或一种情况，如困难、难题等（相对于主体来说，是造成麻烦的一个客体）
dilemma|n. [C] 造成困难的一种处境（即困境），且在这种处境中常不得不在两个同等重要的事情中做出一个非常艰难的选择，可称为进退两难的窘境，相当于predicament
dire|adj. [英，非正式] 极差的、极糟的
disadvantage|n. [C, U] disadvantage (of sth) / disadvantage (to sth) 造成问题（或倾向于阻止某人或某事成功或进步）的事物，可称为不利因素，不利条件，障碍等
disastrous|adj.（某事）完全失败的、极糟的
discomfort|n. [U] 尴尬
disconcert|vt. 使某人尴尬
disconcerting|adj.（某事物）令人尴尬的
disease|n. [C] [正式]（人的态度、生活方式、社会的）弊端，痼疾，恶疾。是一种比喻用法
dismal|adj. [非正式] 质量很低的
distinction|n. [U] 优秀、杰出、卓越、重要等
distress|n. [U]（因没有足够的金钱、食物等所引起的）贫困、困苦
dividends|n. [pl.] pay ~s 某事日后带来好处或优势，即有回报
dog|vt.（问题或坏运气）长期给你造成麻烦，即长期困扰（或折磨、纠缠）
doubtful|adj. [只用于名词前]（质量或价值）低劣的；（真实性或品质）未必真实的、未必靠得住的
drawback|n. [C] drawback (of/to sth) / drawback (of/to doing sth) 缺点，弊端，相当于disadvantage或snag
dreadful|adj. 1 [尤英] 极糟的；极令人不悦的
dream|n. [sing.] [非正式] 一个极漂亮极美好的（即梦幻般的）人或事物
dubious|adj.（荣誉、名声等）不好的、不光彩的；不一定好的
ease|n. [U] 容易、轻而易举
easy|adj. 容易的；不费很大力气（或不经很多困难）就做完或得到的，轻易的。是一个常规用词，最为常用
edge|n. [sing.] edge (on/over sb/sth)（相对于…的）微弱的优势
effortless|adj. 不需要费力的、显得容易的
elite|adj. [只用于名词前] 精英的、精锐的、最优秀的
elite|n. [C] 社会的精英阶层（即财富、智商等较高的阶层）
elusive|adj. 难以定义的、难以描述的
elusive|adj. 难以达成的、难以实现的
embarrass|vt. 给某人造成问题或困难
embarrass|vt.（尤指在社交场合）使某人感到尴尬、窘迫、害羞或不好意思
embarrassed|adj. ~ (about/at sth) / ~ (to do sth)（人或其行为）（尤指在社交场合）窘迫的，尴尬的，害羞的
embarrassing|adj. 1 让人害羞（或难堪、惭愧）的
embarrassment|n. 1 [U] 尴尬、窘迫、难堪、害羞
eminent|adj.（良好的品质）不寻常的、非凡的、杰出的
enormity|n. [U] the ~ of sth（困难、任务、责任等的）艰巨性
equivocal|adj. [正式]（行动或行为常因自相矛盾而）难以理解的；难以解释清楚的
evil|n. [C, usually pl.] [正式] 坏的或有害的东西；某事物的害处、弊端
exacting|adj. 需要付出很大努力的
excellence|n. [U] ~ (in sth) 优秀；杰出；卓越
excellent|adj. 1 极好的，如优秀的、杰出的
exceptional|adj. 杰出的、优秀的、卓越的
exquisite|adj. [正式] 微妙的；敏锐的；敏感的
extraordinary|adj. 不平常的或不一般的，比通常更伟大（或更好）的，如非凡的、卓越的
extravagant|adj.（娱乐活动、图案等）令人赞叹的
facility|n. [pl.]（为某一目的所提供的）设施（如建筑物、服务设施、设备等）
failing|n. [usually pl.]（某人或某事物的）弱点、缺陷、令人不满意的特征
fair|adj. 指人或事物在品质上处于一般水平的，不是很好也不是很坏
fantastic|adj. [非正式] 极好的，了不起的，相当于great或brilliant
fault|n. 1 [C] 某人性格中的一个坏的或弱的方面，如缺点，弱点，相当于shortcoming
fault|vt. 常与can和could连用于否定句，找出某人或某事物的一个缺点，相当于criticize
favourable|adj. 1 给人好印象的
favourable|adj. ~ (to/for sb/sth)（条件）有利的、有助于…的
fearful|adj. [过时，非正式] 极坏的、极糟的
fertile|adj. [常用于名词前]（环境或条件）能产生好结果的，有助于…的
fester|vi.（坏的局势、问题、感情或思想）恶化
fine|adj. 常作前置定语，很好的，高质量的
fix|n. [sing.] 困境。不太常用
flaw|n. 1 [C] ~ (in sth) 缺陷、瑕疵
flawed|adj. 有缺点的；有瑕疵的；被破坏的
foolish|adj. 常不用于名词前，感到尴尬的；显得尴尬的；出丑的。相当于silly或stupid
foolproof|adj.（计划、机器、方法等）使用简便的、容易操作的、万无一失的
football|n. [C] 常与形容词连用，指经常引起争议或争端的问题，被踢来踢去的难题
formidable|adj.（人、事物、情况、困难、任务等）可怕的、令人敬畏的；难对付的；艰巨的
formidable|adj.（人、事物或情况）（由于太强大，或太令人印象深刻，或由于看似很困难而）可怕的（有时让人尊敬的，此事可称为令人敬畏的）
foul|adj. [尤英]（事物）非常令人不悦的、很差的
frailty|n. [U, C] 人的（尤指性格或道德上的）弱点
friendly|adj. 常构成复合形容词，有帮助的且易于使用的；对某人或某事物有帮助或无害的
gain|n. [C] 好处，利益，改进之处，与lose相反
garbage|n. [U] [非正式] 愚蠢的（或不真实的）东西，相当于rubbish
gem|n. [C]（尤指好的）一个人、地方或事物
gift|n. [usually sing.] [非正式] 非常容易去做的事
golden|adj. 特别的，美好的，绝好的
good|adj. 1 good (for sb/sth) 对某人或某事物有用或有益的
good|adj. 1 高质量的、符合可接受的标准的
good|adv. [尤美，非正式] 好
good|n. [U] 好处、益处、用处。是一个简单用词
grand|adj. [方言或非正式] 非常好的，非常令人享受的，出色的
great|adj. 1 [非正式] 非常好的或非常令人愉悦的
great|adv. [非正式，非标准] 很好地、极好地
great|n. [usually pl.] [非正式] 一个非常著名和成功的人或事物
greatness|n. [U] 伟大、崇高
ground|n. [U] 新闻通讯中可指优势
handy|adj. [非正式] 1 容易使用的；容易去做的。相当于useful
hard|adj. 1 hard (for sb) (to do sth) 难做的；难懂的；难以回答的。与easy相反
hard|adv. 艰难地
hardly|adv. 尤用于can或could之后，主要动词之前，以强调做某事是困难的
hardship|n. [U, C]（由于没有足够的钱、食物、衣服等而）艰难且令人不快的一种情形，可称为艰难、困苦、拮据等
harmful|adj. harmful (to sb/sth) 对某人或某事物（尤指对一个人的健康或自然环境）造成损害的，即有害的
harsh|adj.（生活条件）艰苦的
hassle|n. [C, U] [非正式] 困难；麻烦
hazardous|adj.（尤指对人的健康或安全）危险的；有害的
headache|n. [C] 令人头疼的人、事物或事情
healthy|adj. 1 正常的，合理的，（态度）明智的
healthy|adj.（组织或系统等）运转良好的
heavy|adj. [非正式]（情况）严重且难以处理的，即棘手的
heavy|adj.（工作）辛苦的，尤指需要花费很多体力或精力的
heroic|adj.（一次行动或事件）艰苦卓绝的
hiccup|n. [C] [非正式] 小问题；尤指暂时性耽搁
highlight|n. [C] 最好（或最精彩、最激动人心）的部分
hitch|n. [C] 造成短暂延误的一个问题或困难，可称为暂时的困难或问题
hopeless|adj. [英，非正式] 极差的，极糟糕的，相当于terrible
horrible|adj. [非正式] 极糟糕的，极令人不悦的；用于描述所讨厌的东西，如极讨厌的
horrific|adj. [非正式] 极差的；很不愉快的
horror|adj.（经历或事件）非常不愉快的
hostile|adj.（情况、形势等）（对某事的发生或达成）有阻碍的、不利的
hot|adj. 处理起来艰难或危险的，且令人不快或不舒服的，即棘手的
how|adv. 用于询问某事是否成功或愉快
hurt|vi. be hurting (for sth) [美] 由于需要某事物（尤指金钱）而处于困境
hurt|vt. 对…有不良影响
ill|adj. 常作前置定语，指坏的，有害的
ill|adv. 1 尤用于构成复合词，指恶劣地，令人厌恶地
ill|adv. [正式] 困难地
ill|n. [usually pl.] [正式] 困难，问题，弊病，疾病。也是一种比喻用法。在词义上与disease未见明显差别。但ill此时常用复数
immaculate|adj. 没有任何错误的，如完美的
impenetrable|adj. ~ (to sb) 不可理解的、费解的
imperfect|adj. 不完美的、有缺陷的
imperfection|n. 1 [C, U]（某人或某事物的）缺点、缺陷
impossible|adj. 非常难以处理的，很难对付的
impoverish|vt. 使某事物的品质更糟
inaccessible|adj.（某人或某事物）难懂的、无法理解的
inadequacy|n. [C, usually pl.] ~ (of/in sth) 弱点、缺陷
incomprehensible|adj. ~ (to sb) 无法理解的；难懂的
inconsistent|adj. 时好时坏的
inconvenience|n. 1 [U] 不便、麻烦、困难
inconvenience|vt. 给某人造成不便（或带来麻烦）
inconvenient|adj. 造成不便的
incredible|adj. [非正式]（某人或某事物）极好的
inexplicable|adj. 令人费解的；让人无法解释的
inferior|adj. ~ (to sb/sth)（某事物）较差的、比不上的、次的
informative|adj. 提供有用信息的
inhibit|vt. ~ sb (from sth/from doing sth) 使某人感到紧张或尴尬（从而使其不能去做某事）
insoluble|adj. [尤英]（美国通常用insolvable）（问题、谜团等）无法解决的；不能解释的
inspired|adj.（品质或能力）优秀的、卓越的
instructive|adj. 能给人提供很多有用信息的
insurmountable|adj. [正式]（困难、问题等）无法克服的、难以解决的、不可逾越的
interest|n. 1 [C, U] 作可数名词时常用复数，指好处，利益
invaluable|adj. ~ (to/for sb/sth) / ~ (in sth) 极有用的；非常宝贵的
kill|vt. 用于否定句时可表示某事难不倒你，或并非看上去那样令人不快，是一种非正式用法
killer|n. [C] [非正式] 令人激动的事物；精彩的事物
killer|n. [C] [非正式] 极难的事
laborious|adj. 耗费很多时间和精力的、辛苦的、需要付出很大努力的
land|vt.＆vi.（使）某人陷入不快的境地或地方
laugh|vi. [非正式] be laughing 用于表示（尤指因为已成功做了某事而）处于一个非常有利的地位
liability|n. [C, usually sing.] [非正式] 惹麻烦的人（或事）
loaded|adj. ~ against sb/sth（不公平地）对…不利
loaded|adj. ~ in favour of sb/sth（不公平地）对…有利
lovely|adj. [尤英，非正式] 非常令人愉悦的；极好的
low|adj.（看法或品质）不好的；差的
low|n. [C]（某人的生活或职业生涯中的）艰难时期，即低谷
magic|adj. [英，非正式] 不用于名词前，非常好的，或非常享受的，即棒极了，好极了
magical|adj. [非正式]（地方、事物、经历等）奇妙的、神奇的；令人愉快的
malady|n. [C] [正式] 书面语中，指（社会、环境等的）严重问题、弊病、弊端、痼疾
marvellous|adj. [英] [美为marvelous] 极好的
matter|n. [sing.] the matter (with sb/sth) 用于询问某人是否心烦、不悦等，或询问其是否遇到了问题（a problem），即怎么了
mean|adj. [尤美，非正式] 非常好且熟练的，可叫做出色的
meaningless|adj. 意思难懂的
menace|n. [C, usually sing.] [非正式] 引起麻烦的人或事物
merit|n. 1 [U] [正式] 好的且值得赞扬、奖赏或钦佩的品质，如美德、优点
merit|n. [U] [正式] 好的且值得赞扬、奖赏或钦佩的品质，如价值
mess|n. [C, usually sing.] 充满问题或麻烦的一种处境（通常由于组织得欠佳或某人所犯下的一些错误），可称为麻烦、困境、混乱
messy|adj.（一种状况）令人不悦的、糟糕的、让人混乱的、难以处理的
mileage|n. [U] [非正式]（从某个事件或情况中得到的）好处（或利益）的数量
minus|adj. 使…显得负面的（或不好的），或使其显得缺乏吸引力
minus|n. [C] [非正式] 负面品质，即缺点、弊端等，与plus相反
miracle|n. [C] ~ of sth 极好的例子；产品中的精品
monster|n. [C] [幽默] 调皮捣蛋的一个小孩子，即小坏蛋、小恶魔
murder|n. [U] [非正式] 用于描述困难或令人不快的事
nasty|adj. 令人担忧的且难对付的，如棘手的
nasty|adj. 极坏的、极令人不悦的、令人厌恶的
nasty|n. [pl.] 令人不快的人或事物
neat|adj. [美，非正式] 好的；极好的
negative|adj. 坏的，有害的
neutral|adj. 某事物（因本身力量较弱，或达到了各方平衡而）不好不坏的，不引起变化的
nightmare|n. [C] ~ (for sb) 非常可怕或不快的经历，或非常棘手的经历，即噩梦般的经历
obscure|adj.（通常指因内容繁琐）难以理解的
obscurity|n. [U, C. usually pl.] 令人费解、难懂；令人费解或难懂的事
odds|n. [pl.]（对于做某事或达成某事）不利的条件、掣肘的事情
offend|vt. 看起来令人不适
offensive|adj. [正式] 极其令人不悦的
ok|adj. [非正式] yes (for sb) (to do sth) 可以，可接受；以一种可接受的方式，如尚可，不错
ok|adv. [非正式] yes (for sb) (to do sth) 可以，可接受；以一种可接受的方式，如尚可，不错
onerous|adj. [正式] 需要付出极大努力的；艰巨的、令人焦虑的
only|adj. 只用于名词前，用于说明某人（或某事物）是最好的，且你不会选择任何其他的，即最好的，最合适的
opaque|adj.（说话或写作）难懂的、不清楚的
outstanding|adj. 极好的、优秀的、杰出的
painful|adj.（某事做起来）令人不愉快的或让人感觉困难的，相当于trying
painful|adj.（表演或采访）令人难堪的
painless|adj. 愉快的；（事情做起来）不难的、不费劲的、容易的、轻松的
palaver|n. [U, sing.] [英] [非正式]（尤指琐事所引起的）很多麻烦、忙乱
pants|n. [pl.] [英，俚语]（也可用作形容词）次品、劣质品。相当于rubbish
patchy|adj.（美式英语也用spotty）不完整的；质量参差不齐的；质量不稳定的、时好时坏的
pay|vt.＆vi.（对某人来说）受益
peach|n. [sing.] [旧时，非正式] peach (of a ...) 特别好（或特别有吸引力）的一个人或事物
penalty|n. [C] ~ (of sth) 某事的坏处、害处、不利之处
perfect|adj. 1 具有所有必要的东西的，即完备的；完整且没有瑕疵、缺点或弱点的，即完美的，完全的
perfection|n. [U, sing.] 完美的状态
phenomenal|adj. 了不起的；非凡的
pick|n. [sing.] the pick of sth 可指一个群体中最好的一个或若干个个体，即精华。与cream未见明显差别
pickle|n. [U] [sing.] in a ~ 困境、窘境、逆境
plague|n. [C] 令人头疼的事物，如烦扰
plague|vt. ~ sb/sth (with sth) 给某人或某事物造成一段时间的痛苦或麻烦
plight|n. [sing.] 困境、苦难的境地
plunge|n. [usually sing.] 突然陷入一种状态或情况
plunge|vt.&vi.（使）突然陷入一种状态或情况
plus|adj. 只作前置定语，用于描述你所认为的（某事物的）优点
plus|n. [C] [非正式] 优势，好处，长处
polished|adj.（表现、能力或技能）完美的、娴熟的、炉火纯青的
poor|adj. 不好的，（质量、水准、条件）差的
portable|adj. 便于携带或移动的
positive|adj. 1 以解决问题为目的的，或产生成功的结果的，即积极的，建设性的
positive|n. [C, U] 好的（或有用的）品质或方面，即优点，积极的方面
precious|adj. 1 宝贵的；重要且不被浪费的。强调某个数量（可多可少，通常是少量）的事物“在某人眼中是珍贵的”，其价值直接由其在某人心中的地位决定，而并非像rare那样由数量决定（比如有一大群同种类的鸟，从数量上看，其中的任何一只都算不上rare，但是某人与其中一只鸟相处时间太长，有了很深的感情，因而在此人眼中，这只鸟虽然不是rare的，却是precious的。当然，如果其中的五只、十只或更多鸟都与此人有极深的感情，那么它们在此人眼中，也都是precious的）
predicament|n. [C] 困境；尴尬的处境
preferable|adj. ~ (to sth/to doing sth) | ~ (to do sth) 更好的、更有吸引力的；更合适的；更喜欢去做某事的
premium|adj. [只用于名词前] 高品质的
presentable|adj. 可接受的、符合要求的、拿得出手的
problem|adj. 只用于名词前，给别人造成麻烦的
problem|n. [C] 难以处理（或理解）的一件事情，可称为问题、难题、困难
problematic|adj. 难以处理或难以理解的；满是问题的；不一定会成功的。即有问题的、有困难的
profit|n. [U] 正式用法，指从做某事中所获得的好处，裨益。不太常用
profit|vt.＆vi. profit (by/from sth) 从某种情况中获得好处，对某人有用、有益
profitable|adj. 对某人有益的、有好处的
profound|adj. 需要大量研究或思考的，即艰深的
quagmire|n. [C]（难以避免或摆脱的）艰难或危险的处境，即困境、险境
quality|adj. 1 只作前置定语，尤用于销售产品或服务时说…是质量好的，高质量的
quality|n. [U] 高标准，即优质，上乘，相当于excellence
radical|adj. [常用于名词前] [旧时，美，俚语] 很好，非常好
rally|n. [sing.]（在体育运动）状态回升
rare|adj. 现存的数量很少因而有价值或有趣的，即稀罕的，珍贵的。强调数量少决定价值高
rare|adj.（品质）极好的，杰出的
reasonable|adj. 通常不用于名词前，还好但不是非常好的，不错的，过得去的，还算好的，相当于average
rebound|n. [C] [尤指商业]（不振之后的）复兴、振作
recover|vi. recover (from sth)（事物从困境中）恢复
recovery|n. [U, C, usually sing.] ~ (in sth) 改善、复苏、重新变得更强，常指经济的复苏或好转
rehabilitation|n. [U] 复兴
remarkable|adj. ~ (for sth) / ~ (that…) 非凡的、引人注目的
renewal|n. [U, C] 复兴、振兴
repay|vt. [英，非正式] 值得（花时间去注意、研究等）
resuscitation|n. [U] 某事物的复苏（如经济复苏、对组织机构的拯救等）
revival|n. 1 [U, C]（状况或实力的）振兴、复苏
revive|vt.&vi.（使）某事物复苏
rewarding|adj.（活动、经历等）值得做的；有益的；有意义的
rigour|n. [pl.] the rigours of sth 条件的艰苦或严酷
rock|vi. [俚语] sth rocks可指…非常好，好极了
romantic|adj.（事物或场合）美妙的、富有浪漫情调的、充满浪漫气息的
rot|n. [U] the rot 可用于表示形势恶化
rough|adj. 困难且令人不快的，艰难的。相当于tough
rub|n. [sing.] [正式或幽默] the rub可指问题或困难
rubbish|n. 1 [U] [英，非正式] 也用作形容词，你认为品质低劣的东西
sad|adj. 1 让人无法接受的；应受责备（或批评）的，相当于deplorable
scrape|n. [C] [旧时用法] 自己造成的困境
select|adj. 1 只用于名词前，被从一大群的人或事物中仔细挑选出来的最好者，如精选的
self|n. [U] [正式] 自己（而非他人）的利益或享乐，也可叫做私心
serve|vt. 对某人实现或达成…有用；能满足某人…的需要
shaky|adj. 看起来不是很成功的；很可能失败的
sheepish|adj. 窘迫的、尴尬的、难为情的、不好意思的
shine|vi. 在某事上（如在一项技能或活动上）非常擅长，出色
shocking|adj. [非正式，尤英] 非常糟糕的
shortcoming|n. [usually pl.]（某人性格中、一项计划、一个系统或体系等的）缺点，短处，相当于defect
slide|n. [C, usually sing.] 降低，下降；衰落
slide|vi. slide (down/into/towards sth) 逐渐进入到一种更糟糕的形势中（即情况逐渐变得糟糕，如不知不觉地陷入某种情绪、态度或情形）
slip|vi. 1 下降到一个更低的水平或标准；变得更糟。与slide近似，二者有时可互换
slippery|adj. [非正式]（情况、主题、问题等）难以应对的、棘手的
smooth|adj. 发生或持续得顺利（而不遇到任何问题）的
snack|n. [C] [澳大利亚，非正式] 容易办到的事，如小事一桩、小菜一碟
snag|n. [C]（尤指小的、隐藏的或意外的）问题、困难
solid|adj. 1 制作精良的
some|det. [非正式，有时讽] 用于针对某人或某事物表达一种积极或消极的观点
sorry|adj. 只用于名词前，非常糟糕的
sound|adj. 1 明智的，合理的，可靠的，正确的
sour|vt.＆vi.（关系、态度、人等）恶化、变得令人不快、变得不友好；使（关系、态度、人等）恶化、变得令人不快、变得不友好
splendid|adj. 1 [尤英，旧时] 极好的，非常好的，相当于great
splendid|exclamation. [旧时，尤英] 用于表示你赞成某事，或表示你高兴、满意
spoil|n. [pl.] spoils 可指成功所带来的好处
squirm|vi. 感到十分尴尬、羞愧难当、无地自容
stake|n. [sing.] ~ in sth（在公司、计划等中的）重大利益，重大利害关系
star|n. [C] 常用于另一名词前，指一个群体中最优秀的一个人或事物
sterling|adj. [正式] [常用于名词前]（人的品格或工作表现）优秀的、杰出的
sticky|adj. [非正式]（情况）难办的、棘手的
stiff|adj. 比通常情况更困难的
stink|vi. [非正式] ~ (of sth) 让人觉得非常糟、令人不悦或有不正当行为
straightforward|adj. 容易做的；容易理解的；不复杂的，简单的。相当于easy
strait|n. [pl.] straits 可表示一种非常困难的情况，尤指由经济拮据所引起的困境
stranded|adj. 被困的
strength|n. [C] 优势；优点；长处
strenuous|adj.（事情）需要耗费很多努力和很大精力的，即艰苦的、繁重的、费力的
strike|n. [C] strike (against sb/sth) 北美可指有损…名誉或名声的一件坏事或行动
strong|adj. 擅长于某事的
struggle|n. [sing.] struggle (to do sth) 难做或难以实现的事情，即难事，相当于effort
stubborn|adj. 难以清除的，或难以对付（或处理）的，相当于persistent
stuck|adj. [不用于名词前] ~ (on sth) 被问题难住的，或不能理解某事的
stuck|adj. [不用于名词前] 困在一个糟糕的境地或地方而不能逃离的
stupid|adj. 偶尔也可表示情况窘迫的
sublime|adj. 令人赞叹的
sublime|n. [sing.] the sublime指品质极高且令人赞叹的事物
suck|vi. [俚] sth sucks用于表示某事物非常糟糕
suffer|vi. 变得更坏或更糟
super|adj. [非正式，正变得过时] 极好的
superb|adj. 极好的，卓越的；质量（或品质）极好的
superior|adj. superior (to sb/sth) 在品质上比其他…更好的（或更强于…的）
superior|adj.（尤用于广告）品质非常好的；比同类中的（或相似的）其他事物更好的，即出众的
superiority|n. [U] ~ (in sth) / ~ (to/over sth/sb) 优越性、优势性，尤指战争或冲突中具有的优势或优越性
supremacy|n. [U] 优势
surpass|vt.&vi. [正式] 比…更好，如超过、胜过、优于
taxing|adj.（任务或难题）需要耗费很多体力和脑力的
terminal|adj.（情况）一定会恶化且最终结束的，即不可救药的，无可挽回的
terrible|adj. [非正式] 质量极低劣的；非常糟糕的
terror|n. [C] [非正式] 给人造成麻烦（或难以控制）的一个人（通常是一个孩子）或一个动物
test|n. [C]（对实力等的）考验
test|vt.（困难状况等）考验（实力、能力等）
thin|adj. 局势变得不利的
tolerable|adj. [正式] 很好但不是最好的，如还可以的、还过得去的
top|adj. [英，非正式] 常用于名词前，非常好的、极好的
top|n. [pl.] [旧时，非正式] 品质最好的一个人或一个事物
torrid|adj. [英] [常用于名词前] 非常困难的，即艰难的
tough|adj. 有（或造成）问题或困难的，如艰难的，棘手的等
