abandon|n. [U] [正式] 某人的一种放纵或放任的行为方式（不考虑别人对此的看法）
confine|vt. [常用被动式] ~ sb/sth to sth 使某人或某事物限定在某个活动领域、主题、区域等，即限制、限定。相当于restrict
confines|n. [pl.] [正式] confines可指（形势、制度、体制或活动上的）局限、限制
constrained|adj. [正式] 不自然的；强迫的或过于受约束的
constraint|n. 1 [C] ~ (on sth) 起限制或约束作用的事物。相当于restriction
constrict|vt. 对某人所能做的事情进行限制、约束
contingent|adj. ~ (on/upon sth) [正式] 依某事是否发生而定的，即情况而定的、取决于…的
crimp|vt. [美，非正式] 限制或妨碍某事物的增长或发展
curb|n. [C] ~ (on sth) 起控制（或限制）作用的事物
curb|vt. 限制，尤指限制不好的东西
curtail|vt. [正式] 限制某事
dead|adj. 只作前置定语，指精确的
dead|adv. 精确地
definition|n. [U] 清晰、分明、明确
depend|vi. 1 depend on/upon sb/sth 依赖并相信（某人或某事物）
dependence|n. 1 [U] ~ (on/upon sb/sth)（为了成功或存活的）依靠，依赖
dependent|adj. 1 ~ (on/upon sb/sth) (for sth) 依靠的、依赖的
dim|adj. 1（人或物体的）形状因光线不充足而看不清的，如朦胧的、模糊的
dim|vt.&vi.（使）视力变差、使视力变模糊
direct|adj. 只作前置定语，正好的，恰好的
discharge|n. [C]（从监狱或法庭中）释放
discharge|vt. [常用被动式] 允许某人离开监狱或法庭，即释放
equivocal|adj. [正式]（言语或陈述）含义模棱两可的、不明确的、可以从不止一个角度来理解的
exact|adj. 1 在每一个细节上均正确的，即精确的，相当于precise
fetter|n. [usually pl.] [文学]（规则、传统、责任等对某人形成的）束缚、桎梏、羁绊
fetter|vt. [常用被动式] 束缚、限制某人的自由
fidelity|n. [U] [正式] ~ (of sth) (to sth) 某事物（如报告或翻译）的准确性、精确性
figure|n. [C]（远处的）人的轮廓，或（看不清楚的）人影
for|prep. 用于表示谁可以或应该做某事
form|n. [C]（只有体形或形状可以被看见的）人或事物
free|adj. 1 free (to do sth) 不受控制的，随心所欲的
free|vt. 1 free sb (from sth) 将囚犯释放，相当于release
freedom|n. 1 [U, C] freedom (of sth) 指言行不受限制的权力，即言行自由（的权力）
fuzzy|adj.（图片、形状或声音）模糊不清的
general|adj. 1 大体的，笼统的，概括性的，即只包括最重要的部分，而不包括细枝末节的，相当于overall
handful|n. [sing.] [非正式] a handful 可指难以控制的人（或动物）
hazy|adj. 由于疾病而看不清东西的
hedge|vt. [常用被动式] ~ sb/sth (about/around) (with sth) [正式] 包围或限制（某人或某事物）
helpless|adj. ~ (with sth) 无法抑制（强烈感情）的
hem|vt. ~ sb/sth in 限制某人或某事物（使其不能轻易移动或成长）
hostage|n. [U, C] 受限制的人、不由自主的人。算是一种比喻用法
impersonal|adj. 非指任何一个人的
imprecise|adj. 不精确的；不确切的；不明确的
inaccuracy|n. [C, U] 不精确；不准确
inaccurate|adj. 不精确的；不准确的；有错误的
indefinite|adj. 定义得模糊不清的、不明确的
independence|n. 1 [U] 组织机构、专业技术等方面的独立
independent|adj. 1 由不相干的人所执行或提供，因而评判时能够秉持公正的
just|adv. just (like/what/as ...) 正好，恰好，相当于exactly
latitude|n. [U] [正式] 选择（做什么事或做事方式）的自由
liable|adj. [名词前不常用] ~ for/to sth / ~ to do sth 必须按法律做某事的；负有法律责任的
liberal|adj.（政治经济上）自由的，开明的；支持（社会、政治或宗教）变革的
liberal|n. [C] 支持（社会、政治或宗教）变革的人
liberalism|n. 1 [U]（主张通过修改法律逐步实现社会进步的）自由主义
liberation|n. [C] 使某人摆脱束缚而自由地享受生活
liberty|n. 1 [U] 按照自己的选择自由地去生活，在某种程度上不受其他人、政府或权威的限制
limit|n. 1 [C] limit (to sth) 一个临界点，在此点处某事物不再可能或不再存在，即限度
limit|vt. 1 limit sth (to sth) 阻止某事物增加而超过一个特定的数量或水平，如限制，限定，相当于restrict
limited|adj. 1（数量、程度、范围）有限的
loose|adj. 不常用于名词前，自由移动而不受控制的，未被系在某处或未被关在某处的
loose|adj. 不精确的；不严谨，不严密的
loose|vt. [正式] loose sth (on/upon sb/sth) 释放某事物；让某事发生；让…得以不受约束地表达
mortality|n. [U] 生命的有限
muted|adj.（情感、观点等）表达得不明确的
muzzle|vt. 防止某人在公共场合表达观点，如压制（言论）
noose|n. [C] 比喻意义上的圈套，实际是一种束缚
obligatory|adj. [正式]（按法律、规定等）必须做的
obliged|adj. [正式] [名词前不可用] 被迫去做某事的，有义务的
outsider|n. [C] 不属于某个组织机构的一个人，即外来者
parasite|n. [C] [贬] 像寄生虫一样的一个人，即依靠别人过活者
parole|n. [U] 对囚犯的有条件的假释
parole|vt. [常用被动式] 假释；有条件地释放
particular|adj. 只用于名词前，用于强调你正指的是特定的一个人、事物或类别（而非其他类似者），即特指的，相当于specific
perfect|adj. 完全正确的，准确的，精确的，地道的
pinpoint|adj.（位置）准确的、精确的
positive|adj.（证据或信息）确凿的，明确的
precise|adj. 1 清晰且准确的，即确切的，精确的，明确的等，相当于exact
precision|n. [U] 精确、准确；精密；细致
prison|n. [C] 某人不能逃脱的地方或处境
prisoner|n. [C] 比喻用法中可指与非战争或非罪行有关的囚禁者
qualification|n. [C, U] 你对某一陈述所附加的一条限定性信息（可限定此陈述的效用或其所适用的情况），相当于proviso
qualified|adj. [常用于名词前]（赞同、支持等）有限度的；有保留的
qualify|vt. 使原先所说的话更具体
quota|n. 1 [C] 官方许可的（人员或事物的）限定的数量，如限额、配额
raise|vt. 终止或解除（对…的约束或限制）
ration|n. 1 [C] 短缺物资（如食物、燃料等）的配给量
ration|vt. [常用被动式] ~ sb/sth (to sth)（尤指物资短缺时）对某人限制物资的供应量
rationing|n. [U] 对短缺物资（如食物、燃料等）实施的定量配给政策
release|n. [U, sing.] ~ (of sb) (from sth)（将人或动物）释放；获释的状态
release|vt. ~ sb/sth (from sth) 把某人从其被囚禁（或被困）之地放走
reliance|n. [U, sing.] ~ (on/upon sb/sth)（为了生存、成功等）依靠、依赖（即一旦失去依靠，常常导致失败）
reliant|adj. ~ on/upon sb/sth（为了生存、成功等）对…依赖的、依靠的
rely|vi. rely on/upon sb/sth 需要或依赖（某人或某事物）
restrain|vt. ~ yourself (from sth/from doing sth) 约束、控制（自己的感情、情绪、想去做某事的冲动）
restraint|n. 1 [C, usually pl.] ~ (on sb/sth) 对人们的行为起限制作用的因素
restrict|vt. ~ sth (to sth) 限制，限定（规模、数量、范围等）
restricted|adj. 1（大小、规模、数量、范围等）有限的、很小的
restriction|n. 1 [C] restriction (on sth) 限制性的规则或法规（主要限制人的行为、事件、事物的数量或尺寸等）
restrictive|adj. 1 对人的行为有限制作用的，即限制性的
right|adv. 正好，恰好，直接地
self-contained|adj. 1（人）独立的、自立的，不需要或不依赖别人的
self-sufficient|adj. 1 ~ (in sth)（国家或团体）自给自足的
shackle|n. [pl.] shackles (of sth) [正式] 桎梏、束缚（是一种约束性的状态或一系列条件）
shackle|vt. [常用被动式] 约束、束缚、制约
shape|n. [C] 难以看清楚的一个人或事物，相当于figure
slap|adv. [非正式] 正好、恰好
slip|vt.＆vi. 变得自由；使…变得自由，即挣脱、摆脱、放走等。有一种“悄悄而快速地溜走”的色彩
smack|adv. [非正式] [美式也用smack-dab] 恰好在某地、不偏不倚地在某地
smear|vt.&vi. 把（字迹、图画等）蹭得模糊不清；以此方式变得模糊不清
smother|vt. 压制、扼杀、镇压某种活动或过程
smudge|vt.&vi. 触摸或擦揉某事物（尤指湿墨水或油漆）使其不再清晰，即把…擦模糊；也可指以此方式变得模糊
solid|adj. 可依靠的，可信赖的，有坚实基础的。是一种形象化用法，也较为常用
sophisticated|adj.（机器、体系等）精密的
sophistication|n. [U]（机器、方法等的）精密
sound|adj. 可靠的。不过一般指建议、理由、情况等稳定可靠
space|n. [U]（人）思考或行动的自由，即属于自己的空间
specific|adj. 1 详细且准确的，可称为明确具体的，相当于precise
straight|adj.（瞄准或打击）准的；正中目标的
strict|adj. 常用于名词前，定义确切而清晰的（如严谨的、严密的、精密的）
string|n. [pl.] strings 可指特殊的条件或限制
subject|adj. subject to sth 为完成…（或获得同意）而取决于…，即视…而定
suffocate|vt.&vi. 受到形势的束缚
sweeping|adj. [常用于名词前] [贬]（陈述或总结）过分笼统的、过分一概而论（而不考虑个例）的
tear|vt. tear yourself/sb (from sb/sth) 用力把…从其束缚中拉出来
tie|n. [C] 对某人的行为自由起限制作用的事物，即束缚、限制、约束、牵绊等
tie|vt. tie sb (to sth/to doing sth) 约束或束缚某人（使其不能做其想做的任何事）
twilight|adj. [只用于名词前]（局面、形势或思想领域）朦胧的、模糊的、界限不清的
uncontrollable|adj. 1（一种感情或身体反应）无法控制的；控制不住的
uninhibited|adj.（人或其行为）无拘无束的、随心所欲的
vague|adj. 1 vague (about sth) 没有（或不给出）某事物的足够信息或细节的，如不具体的，不详细的，粗略的
wide|adj. 仅用于比较级和最高级，指总体上的，广义的，而非细节性的
wild|adj. 缺乏纪律或管控的
